timestamp,conductivity_conductivity,conductivity_temperature,conductivity_salinity,conductivity_density,conductivity_soundspeed,pressure_pressure,pressure_temperature
2023-08-29 12:00,36.6874,14.4089,29.8359,1022.12,1498.77,309.697,14.4205
2023-08-29 12:30,35.0858,14.4742,28.3462,1020.96,1497.25,308.885,14.4847
2023-08-29 13:00,35.2379,14.5408,28.4336,1021.01,1497.56,308.08,14.5546
2023-08-29 13:30,35.4416,14.3825,28.7328,1021.27,1497.4,307.402,14.4113
2023-08-29 14:00,34.9227,14.1748,28.4188,1021.07,1496.35,307.001,14.2032
2023-08-29 14:30,35.1187,14.13,28.6289,1021.24,1496.45,307.109,14.1469
2023-08-29 15:00,35.106,14.0047,28.7105,1021.33,1496.13,307.382,14.0128
2023-08-29 15:30,35.0686,13.9631,28.7076,1021.34,1495.99,307.98,13.9733
2023-08-29 16:00,34.9091,14.0025,28.5337,1021.2,1495.91,308.878,14.0188
2023-08-29 16:28,34.9577,14.062,28.5336,1021.18,1496.11,309.626,14.0773
2023-08-29 17:00,34.8873,14.081,28.456,1021.12,1496.08,310.488,14.0908
2023-08-29 17:30,35.2137,14.0417,28.7805,1021.38,1496.33,311.411,14.0524
2023-08-29 18:15,35.5976,14.0309,29.1371,1021.66,1496.71,312.306,14.0489
2023-08-29 18:30,35.6559,14.0886,29.1463,1021.65,1496.91,313.268,14.0875
2023-08-29 19:00,35.6925,14.076,29.1891,1021.69,1496.92,314.121,14.0919
2023-08-29 19:30,35.7563,14.1612,29.1825,1021.66,1497.2,314.855,14.1981
2023-08-29 20:00,35.974,14.1823,29.3637,1021.8,1497.48,315.351,14.1938
2023-08-29 20:30,35.7515,14.2418,29.1174,1021.6,1497.38,315.607,14.2573
2023-08-29 20:58,35.5382,14.4161,28.7948,1021.31,1497.58,315.277,14.4354
2023-08-29 21:30,35.561,14.5427,28.7215,1021.23,1497.91,314.679,14.5616
2023-08-29 21:58,35.7806,14.5484,28.9141,1021.38,1498.15,314.057,14.5912
2023-08-29 22:30,36.1832,14.7246,29.1431,1021.52,1498.99,313.033,14.7533
2023-08-29 23:00,35.8421,14.7341,28.8313,1021.28,1498.66,311.952,14.7453
2023-08-29 23:30,35.9649,14.7791,28.9076,1021.33,1498.89,310.911,14.796
2023-08-30 00:00,36.0739,14.716,29.0518,1021.45,1498.85,309.861,14.731
2023-08-30 00:30,35.6992,14.6472,28.7679,1021.25,1498.3,308.78,14.6572
2023-08-30 01:00,35.4596,14.7033,28.5127,1021.04,1498.19,307.839,14.7097
2023-08-30 01:30,35.5687,14.6079,28.6803,1021.19,1498.07,307.014,14.6298
2023-08-30 02:00,35.6736,14.5569,28.8119,1021.3,1498.06,306.203,14.5719
2023-08-30 02:30,35.5914,14.4284,28.8335,1021.34,1497.66,305.79,14.4432
2023-08-30 03:00,35.3123,14.2442,28.719,1021.29,1496.93,305.828,14.2598
2023-08-30 03:30,35.4405,14.1955,28.871,1021.42,1496.94,306.176,14.207
2023-08-30 04:00,35.3989,14.3451,28.7222,1021.27,1497.26,306.809,14.3617
2023-08-30 04:30,35.4696,14.3979,28.7466,1021.28,1497.46,307.553,14.4083
2023-08-30 05:00,35.4958,14.5174,28.6817,1021.21,1497.78,308.467,14.5276
2023-08-30 05:30,35.5424,14.4589,28.7669,1021.28,1497.69,309.619,14.4802
2023-08-30 06:00,35.5658,14.3457,28.872,1021.39,1497.44,310.799,14.3567
2023-08-30 06:30,35.6812,14.3294,28.9882,1021.48,1497.52,311.829,14.3439
2023-08-30 07:00,35.6976,14.2552,29.0586,1021.55,1497.36,312.856,14.2706
2023-08-30 07:30,35.8267,14.386,29.0769,1021.54,1497.81,313.964,14.3987
2023-08-30 08:26,35.4222,14.5067,28.6237,1021.16,1497.67,315.001,14.5302
2023-08-30 08:30,35.3644,14.5673,28.5273,1021.08,1497.76,315.654,14.6073
2023-08-30 09:00,35.339,14.4773,28.5707,1021.13,1497.52,315.878,14.4941
2023-08-30 09:30,35.5765,14.6279,28.6725,1021.18,1498.13,315.713,14.6486
2023-08-30 10:00,35.4927,14.8462,28.4379,1020.95,1498.56,315.284,14.8638
2023-08-30 10:28,35.4514,14.9938,28.2942,1020.81,1498.87,314.618,15.01
2023-08-30 10:58,35.5149,15.0162,28.3341,1020.84,1498.99,313.737,15.0394
2023-08-30 11:30,35.7999,15.02,28.5837,1021.03,1499.29,312.646,15.0499
2023-08-30 12:00,36.017,15.1095,28.7104,1021.11,1499.73,311.397,15.1297
2023-08-30 12:30,35.6797,15.2438,28.3152,1020.77,1499.7,310.365,15.2578
2023-08-30 13:00,35.6279,15.3318,28.2064,1020.67,1499.86,309.211,15.3698
2023-08-30 13:30,35.5883,15.1799,28.2808,1020.76,1499.46,308.094,15.1813
2023-08-30 14:00,35.5095,15.0822,28.2817,1020.78,1499.14,307.267,15.0646
2023-08-30 14:30,35.4916,15.2521,28.1438,1020.64,1499.53,306.505,15.2759
2023-08-30 15:00,35.4829,15.0542,28.2784,1020.79,1499.05,306.255,15.0637
2023-08-30 15:30,35.5552,15.1287,28.2885,1020.78,1499.3,306.65,15.142
2023-08-30 16:00,35.4632,15.0406,28.2708,1020.78,1499.0,307.134,15.0605
2023-08-30 16:30,35.4639,15.1475,28.1944,1020.7,1499.25,307.814,15.175
2023-08-30 17:00,35.4645,15.1795,28.172,1020.68,1499.33,308.704,15.2174
2023-08-30 17:30,35.483,15.1159,28.234,1020.74,1499.2,309.668,15.1291
2023-08-30 18:00,35.4265,15.0785,28.211,1020.73,1499.05,310.825,15.0881
