Time,SeaGuard_Nord_Conductivity_Sensor.Conductivity,SeaGuard_Nord_Conductivity_Sensor.Temperature,SeaGuard_Nord_Pressure_Sensor.Pressure,SeaGuard_Nord_Pressure_Sensor.Temperature,SeaGuard_Sor_Conductivity_Sensor.Conductivity,SeaGuard_Sor_Conductivity_Sensor.Temperature,SeaGuard_Sor_Pressure_Sensor.Pressure,SeaGuard_Sor_Pressure_Sensor.Temperature
2022-11-25T07:30:00Z,37.566,11.8064,330.062,11.8053,38.81,11.7234,738.224,11.7238
2022-11-25T08:00:00Z,37.6169,11.8204,331.151,11.8285,38.8136,11.7788,739.15,11.7833
2022-11-25T08:30:00Z,37.3905,11.6219,332.212,11.624,38.8198,11.8802,740.391,11.8822
2022-11-25T09:00:00Z,37.2964,11.5942,332.914,11.5996,38.835,11.8898,741.247,11.8919
2022-11-25T09:30:00Z,37.2645,11.5839,333.897,11.5747,38.798,11.7561,741.951,11.7565
2022-11-25T10:00:00Z,37.3001,11.6648,334.628,11.6701,38.842,11.8892,742.574,11.8922
2022-11-25T10:30:00Z,36.8662,11.4841,334.462,11.4901,38.8551,11.9361,742.378,11.9376
2022-11-25T11:00:00Z,36.6062,11.3547,333.891,11.358,38.8484,11.9638,742.047,11.9645
2022-11-25T11:30:00Z,36.2932,11.1944,333.435,11.1953,38.8575,11.9688,741.359,11.972
2022-11-25T12:00:00Z,36.2276,11.1968,332.371,11.2006,38.8435,12.0102,740.407,12.0126
2022-11-25T12:30:00Z,36.0286,11.0513,331.056,11.0532,38.8476,11.991,739.188,11.9935
2022-11-25T13:00:00Z,35.9389,10.9693,331.104,10.9726,38.8411,11.9986,737.935,11.999
2022-11-25T13:30:00Z,35.8063,10.8913,329.253,10.8973,38.8506,12.0128,736.71,12.016
2022-11-25T14:00:00Z,34.9802,10.4495,328.025,10.4487,38.8148,12.0457,735.382,12.0501
2022-11-25T14:30:00Z,35.2423,10.5869,326.543,10.586,38.7454,12.0543,734.233,12.0589
2022-11-25T15:00:00Z,35.5729,10.7672,325.565,10.7425,38.6471,11.9866,733.395,11.9953
2022-11-25T15:30:00Z,35.1554,10.5532,324.766,10.5611,38.5342,11.9342,732.73,11.9343
2022-11-25T16:00:00Z,35.3185,10.643,324.024,10.6369,38.5057,11.9215,731.934,11.9235
2022-11-25T16:30:00Z,35.2176,10.583,324.038,10.5812,38.4782,11.9081,731.962,11.9066
2022-11-25T17:00:00Z,35.8931,10.9626,324.533,10.9696,38.6935,12.0244,732.403,12.0288
2022-11-25T17:30:00Z,35.9871,11.0075,324.936,11.0052,38.6662,12.0046,733.094,12.007
