Time                 ,SeaGuard_Nord_Conductivity_Sensor.Conductivity ,SeaGuard_Nord_Conductivity_Sensor.Temperature ,SeaGuard_Nord_Pressure_Sensor.Pressure ,SeaGuard_Nord_Pressure_Sensor.Temperature ,SeaGuard_Sor_Conductivity_Sensor.Conductivity ,SeaGuard_Sor_Conductivity_Sensor.Temperature ,SeaGuard_Sor_Pressure_Sensor.Pressure ,SeaGuard_Sor_Pressure_Sensor.Temperature
2023-01-26T16:00:00Z ,                                    33.0226    ,                                     7.07865  ,                              328.817  ,                                 7.0692   ,                                     33.5593  ,                                    7.4561   ,                             736.812  ,                                7.43983
2023-01-26T16:30:00Z ,                                    33.0196    ,                                     7.08043  ,                              327.535  ,                                 7.06746  ,                                     33.482   ,                                    7.39173  ,                             735.539  ,                                7.37867
2023-01-26T17:00:00Z ,                                    33.0211    ,                                     7.0804   ,                              326.571  ,                                 7.06948  ,                                     33.5197  ,                                    7.42848  ,                             734.832  ,                                7.41593
2023-01-26T17:30:00Z ,                                    33.0196    ,                                     7.08029  ,                              325.542  ,                                 7.06973  ,                                     33.4234  ,                                    7.33418  ,                             733.654  ,                                7.3211
2023-01-26T18:00:00Z ,                                    33.0159    ,                                     7.07675  ,                              324.498  ,                                 7.06616  ,                                     33.4262  ,                                    7.35527  ,                             732.818  ,                                7.32197
2023-01-26T18:30:00Z ,                                    32.9792    ,                                     7.05642  ,                              323.846  ,                                 7.0454   ,                                     33.4835  ,                                    7.35249  ,                             731.934  ,                                7.33752
2023-01-26T19:00:00Z ,                                    32.7488    ,                                     6.86387  ,                              323.301  ,                                 6.85326  ,                                     33.4887  ,                                    7.34845  ,                             731.486  ,                                7.33502
2023-01-26T19:30:00Z ,                                    32.7406    ,                                     6.86172  ,                              323.16   ,                                 6.84999  ,                                     33.304   ,                                    7.25543  ,                             731.402  ,                                7.24427
2023-01-26T20:00:00Z ,                                    32.7325    ,                                     6.86443  ,                              323.751  ,                                 6.85568  ,                                     33.5781  ,                                    7.41836  ,                             731.752  ,                                7.40552
2023-01-26T20:30:00Z ,                                    32.7608    ,                                     6.87545  ,                              324.418  ,                                 6.86415  ,                                     33.7451  ,                                    7.53998  ,                             732.415  ,                                7.52646
2023-01-26T21:00:00Z ,                                    32.7648    ,                                     6.88319  ,                              325.086  ,                                 6.87342  ,                                     33.7301  ,                                    7.525    ,                             733.216  ,                                7.51402
2023-01-26T21:30:00Z ,                                    32.8965    ,                                     6.9832   ,                              326.438  ,                                 6.97017  ,                                     34.2182  ,                                    7.90381  ,                             734.248  ,                                7.89257
