timestamp,conductivity_conductivity,conductivity_temperature,conductivity_salinity,conductivity_density,conductivity_soundspeed,pressure_pressure,pressure_temperature
2024-05-25 06:09,31.5478,8.79264,29.3672,1022.74,1478.52,237.818,8.78835
2024-05-25 06:11,31.5468,8.79045,29.3679,1022.74,1478.51,237.902,8.78515
2024-05-25 06:13,31.5406,8.77246,29.3765,1022.75,1478.46,237.926,8.76851
2024-05-25 06:15,31.5318,8.76022,29.3776,1022.75,1478.41,238.013,8.7553
2024-05-25 06:17,31.544,8.77283,29.3797,1022.75,1478.46,238.041,8.75127
2024-05-25 06:19,31.5142,8.73175,29.3831,1022.76,1478.31,238.094,8.73488
2024-05-25 06:21,31.5271,8.75313,29.3786,1022.76,1478.39,238.149,8.73137
2024-05-25 06:23,31.4983,8.70415,29.3895,1022.77,1478.21,238.252,8.71749
2024-05-25 06:25,31.506,8.72459,29.3805,1022.76,1478.28,238.284,8.70404
2024-05-25 06:27,31.5782,8.82034,29.3756,1022.74,1478.63,238.36,8.78245
2024-05-25 06:29,31.5804,8.83402,29.3664,1022.73,1478.67,238.433,8.82097
2024-05-25 06:31,31.593,8.85814,29.3595,1022.73,1478.76,238.484,8.83101
2024-05-25 06:33,31.6085,8.887,29.3515,1022.72,1478.86,238.542,8.8463
2024-05-25 06:35,31.6154,8.90364,29.3449,1022.71,1478.91,238.623,8.88539
2024-05-25 06:37,31.5996,8.89455,29.3362,1022.7,1478.87,238.701,8.88345
2024-05-25 06:39,31.6274,8.9147,29.3481,1022.71,1478.96,238.79,8.87852
2024-05-25 06:41,31.5575,8.79016,29.3792,1022.75,1478.53,238.86,8.81477
2024-05-25 06:43,31.6255,8.8784,29.3762,1022.74,1478.85,238.937,8.80308
2024-05-25 06:45,31.6443,8.94535,29.3402,1022.7,1479.06,239.003,8.88212
2024-05-25 06:47,31.6488,8.95769,29.3345,1022.69,1479.1,239.077,8.91022
2024-05-25 06:49,31.6468,8.96376,29.3275,1022.69,1479.11,239.14,8.93813
2024-05-25 06:51,31.6599,8.98085,29.3268,1022.68,1479.18,239.201,8.95671
2024-05-25 06:53,31.6634,8.99074,29.3223,1022.68,1479.21,239.254,8.98162
2024-05-25 06:55,31.6545,8.95805,29.3401,1022.7,1479.11,239.365,8.94172
2024-05-25 06:57,31.6271,8.93013,29.3351,1022.7,1479.0,239.424,8.93953
2024-05-25 06:59,31.6238,8.92367,29.337,1022.7,1478.98,239.508,8.90807
2024-05-25 07:01,31.6676,8.99816,29.3205,1022.67,1479.23,239.549,8.9715
2024-05-25 07:03,31.6488,8.98533,29.3117,1022.67,1479.18,239.606,8.98191
2024-05-25 07:05,31.6427,8.973,29.3156,1022.67,1479.13,239.708,8.95446
2024-05-25 07:07,31.6658,9.00264,29.3149,1022.67,1479.24,239.754,9.00577
2024-05-25 07:09,31.6754,9.01389,29.3155,1022.67,1479.29,239.807,9.01668
2024-05-25 07:11,31.6546,8.99547,29.3094,1022.67,1479.21,239.863,9.00081
2024-05-25 07:13,31.617,8.93618,29.3197,1022.68,1479.0,239.937,8.93554
2024-05-25 07:15,31.6094,8.9296,29.3174,1022.68,1478.97,240.01,8.89564
2024-05-25 07:17,31.6281,8.94666,29.3224,1022.68,1479.04,240.047,8.89363
2024-05-25 07:19,31.6265,8.94843,29.3193,1022.68,1479.05,240.121,8.93559
2024-05-25 07:21,31.6447,8.97846,29.3133,1022.67,1479.15,240.17,8.94698
2024-05-25 07:23,31.6589,9.00285,29.3077,1022.66,1479.24,240.214,8.98962
2024-05-25 07:25,31.6787,9.02496,29.3098,1022.66,1479.32,240.236,9.01135
2024-05-25 07:27,31.6819,9.03199,29.3073,1022.66,1479.34,240.3,9.00076
2024-05-25 07:29,31.6701,9.02284,29.3027,1022.66,1479.3,240.342,9.02271
2024-05-25 07:31,31.645,8.9857,29.3075,1022.67,1479.17,240.425,8.97628
2024-05-25 07:33,31.6751,9.02544,29.3056,1022.66,1479.32,240.506,9.01954
2024-05-25 07:35,31.676,9.03152,29.3016,1022.66,1479.34,240.521,9.02233
2024-05-25 07:37,31.6783,9.03063,29.3047,1022.66,1479.34,240.578,9.02687
2024-05-25 07:39,31.6835,9.03915,29.303,1022.66,1479.37,240.639,9.03543
2024-05-25 07:41,31.7025,9.0652,29.301,1022.65,1479.46,240.713,9.06131
2024-05-25 07:43,31.7077,9.07672,29.2968,1022.64,1479.5,240.766,9.07505
2024-05-25 07:45,31.7098,9.08613,29.2913,1022.64,1479.53,240.805,9.07874
2024-05-25 07:47,31.6989,9.06979,29.2936,1022.64,1479.47,240.872,9.07188
2024-05-25 07:49,31.7044,9.07745,29.2928,1022.64,1479.5,240.928,9.07276
2024-05-25 07:51,31.6943,9.06624,29.2917,1022.64,1479.45,240.98,9.06483
2024-05-25 07:53,31.6978,9.06347,29.2976,1022.65,1479.45,241.034,9.06013
2024-05-25 07:55,31.7038,9.07141,29.2972,1022.65,1479.48,241.045,9.06507
2024-05-25 07:57,31.6916,9.06645,29.2888,1022.64,1479.45,241.133,9.06355
2024-05-25 07:59,31.6915,9.05618,29.2971,1022.65,1479.42,241.188,9.05031
2024-05-25 08:01,31.6851,9.06276,29.2852,1022.64,1479.43,241.23,9.05812
2024-05-25 08:03,31.7058,9.07314,29.2978,1022.65,1479.49,241.286,9.06354
2024-05-25 08:05,31.7083,9.0852,29.2905,1022.64,1479.52,241.341,9.07982
2024-05-25 08:07,31.715,9.08827,29.2948,1022.64,1479.54,241.375,9.08558
2024-05-25 08:09,31.7279,9.10987,29.2902,1022.63,1479.61,241.429,9.10035
2024-05-25 08:11,31.7305,9.11401,29.2895,1022.63,1479.63,241.503,9.12527
2024-05-25 08:13,31.7847,9.19142,29.2812,1022.62,1479.91,241.584,9.16379
2024-05-25 08:15,31.7346,9.12706,29.283,1022.63,1479.67,241.646,9.13551
2024-05-25 08:17,31.7314,9.1229,29.2831,1022.63,1479.65,241.704,9.12347
2024-05-25 08:19,31.7402,9.13159,29.285,1022.63,1479.69,241.75,9.12869
2024-05-25 08:21,31.7322,9.12383,29.2831,1022.63,1479.66,241.771,9.12746
2024-05-25 08:23,31.7319,9.12153,29.2847,1022.63,1479.65,241.817,9.12375
2024-05-25 08:25,31.6872,9.04698,29.3003,1022.65,1479.39,241.893,9.07075
2024-05-25 08:27,31.6872,9.05403,29.2946,1022.65,1479.41,241.949,9.06467
2024-05-25 08:29,31.6908,9.06165,29.2919,1022.64,1479.44,241.975,9.07028
2024-05-25 08:31,31.6908,9.0627,29.2911,1022.64,1479.44,242.074,9.05892
2024-05-25 08:33,31.7063,9.08474,29.2888,1022.64,1479.52,242.131,9.08512
2024-05-25 08:35,31.7286,9.11069,29.2902,1022.63,1479.62,242.207,9.10872
2024-05-25 08:37,31.7151,9.09754,29.2872,1022.63,1479.56,242.22,9.09267
2024-05-25 08:39,31.7218,9.10306,29.2896,1022.64,1479.59,242.269,9.08535
2024-05-25 08:41,31.7227,9.10845,29.2861,1022.63,1479.6,242.344,9.10276
2024-05-25 08:43,31.7278,9.11583,29.2853,1022.63,1479.63,242.401,9.11085
2024-05-25 08:45,31.6234,8.97194,29.2968,1022.66,1479.11,242.462,8.87302
2024-05-25 08:47,31.6604,9.01701,29.2976,1022.65,1479.28,242.509,8.95099
2024-05-25 08:49,31.7126,9.09599,29.286,1022.63,1479.56,242.562,9.09107
2024-05-25 08:51,31.7234,9.10511,29.2896,1022.63,1479.6,242.626,9.09742
2024-05-25 08:53,31.723,9.10381,29.2901,1022.64,1479.59,242.666,9.09463
2024-05-25 08:55,31.7187,9.10511,29.2847,1022.63,1479.59,242.718,9.0936
2024-05-25 08:57,31.7151,9.09791,29.2869,1022.63,1479.57,242.766,9.09059
2024-05-25 08:59,31.717,9.10102,29.2863,1022.63,1479.58,242.82,9.0952
2024-05-25 09:01,31.7157,9.10205,29.2842,1022.63,1479.58,242.893,9.09735
2024-05-25 09:03,31.7182,9.10485,29.2844,1022.63,1479.59,242.962,9.10153
2024-05-25 09:05,31.7191,9.10633,29.2842,1022.63,1479.59,243.003,9.10271
2024-05-25 09:07,31.7198,9.10589,29.2853,1022.63,1479.59,243.045,9.10437
2024-05-25 09:09,31.7182,9.10934,29.2808,1022.63,1479.6,243.096,9.10408
2024-05-25 09:11,31.7182,9.10919,29.2808,1022.63,1479.6,243.155,9.1046
2024-05-25 09:13,31.7152,9.10019,29.2852,1022.63,1479.57,243.192,9.09943
2024-05-25 09:15,31.7152,9.10116,29.2844,1022.63,1479.58,243.253,9.10035
2024-05-25 09:17,31.7161,9.10255,29.2842,1022.63,1479.58,243.305,9.09948
2024-05-25 09:19,31.7151,9.10223,29.2834,1022.63,1479.58,243.372,9.09697
2024-05-25 09:21,31.7131,9.10343,29.2804,1022.63,1479.58,243.409,9.09591
2024-05-25 09:23,31.7161,9.10665,29.2808,1022.63,1479.59,243.458,9.09855
2024-05-25 09:25,31.7152,9.0997,29.2856,1022.63,1479.57,243.486,9.09565
