idx,observed,predicted,lower_bound,upper_bound,is_anomalous,error,threshold
15,308.572,313.3197070360184,312.114717409507,314.5246966625297,True,0.046572,0.003000
16,308.91,308.6385791897774,307.433589563266,309.8435688162887,False,0.000152,0.003000
17,309.493,308.96083104610443,307.7558414195931,310.1658206726158,False,0.000585,0.003000
18,310.18,309.54254174232483,308.3375521158135,310.7475313688362,False,0.000840,0.003000
19,310.719,310.2479016780853,309.042912051574,311.4528913045967,False,0.000459,0.003000
20,311.664,310.75748026371,309.5524906371987,311.96246989022137,False,0.001698,0.003000
21,312.541,311.69585728645325,310.4908676599419,312.9008469129646,False,0.001476,0.003000
22,313.459,312.58323645591736,311.378246829406,313.7882260824287,False,0.001585,0.003000
23,314.397,313.50119256973267,312.2962029432213,314.706182196244,False,0.001658,0.003000
24,315.38,314.4328727722168,313.22788314570545,315.63786239872815,False,0.001853,0.003000
25,316.276,315.4255311489105,314.2205415223992,316.63052077542187,False,0.001494,0.003000
26,317.226,316.32109546661377,315.1161058401024,317.5260850931251,False,0.001692,0.003000
27,317.38,317.2695472240448,316.06455759753345,318.47453685055615,False,0.000025,0.003000
28,317.286,317.4351463317871,316.23015670527576,318.64013595829846,False,0.000046,0.003000
29,317.063,317.2920871973038,316.0870975707924,318.4970768238151,False,0.000108,0.003000
30,316.386,317.0997768640518,315.89478723754047,318.30476649056317,False,0.001053,0.003000
31,315.812,316.43171429634094,315.2267246698296,317.6367039228523,False,0.000793,0.003000
32,314.378,315.86748456954956,314.6624949430382,317.0724741960609,True,0.004584,0.003000
33,312.982,314.4144686460495,313.20947901953815,315.61945827256085,True,0.004240,0.003000
34,312.043,313.0364592075348,311.83146958102344,314.24144883404614,False,0.002039,0.003000
35,311.092,312.08682334423065,310.8818337177193,313.291812970742,False,0.002045,0.003000
36,309.752,311.1324864625931,309.92749683608173,312.3374760891044,True,0.003937,0.003000
37,308.701,309.79907965660095,308.5940900300896,311.0040692831123,False,0.002491,0.003000
38,307.593,308.7272514104843,307.52226178397297,309.93224103699566,False,0.002658,0.003000
39,307.355,307.6177088022232,306.41271917571186,308.82269842873455,False,0.000143,0.003000
40,307.078,307.3814757466316,306.1764861201203,308.58646537314297,False,0.000190,0.003000
41,307.227,307.1043759584427,305.89938633193134,308.30936558495404,False,0.000031,0.003000
42,307.604,307.24617952108383,306.0411898945725,308.4511691475952,False,0.000265,0.003000
43,308.777,307.6286096572876,306.42362003077625,308.83359928379895,False,0.002725,0.003000
44,309.807,308.81323742866516,307.6082478021538,310.0182270551765,False,0.002040,0.003000
45,310.801,309.83588659763336,308.630896971122,311.0408762241447,False,0.001924,0.003000
46,311.751,310.8465766906738,309.6415870641625,312.0515663171852,False,0.001690,0.003000
47,313.073,311.77821230888367,310.5732226823723,312.983201935395,True,0.003464,0.003000
48,314.305,313.1050088405609,311.90001921404956,314.30999846707226,False,0.002975,0.003000
49,315.201,314.33098459243774,313.1259949659264,315.5359742189491,False,0.001564,0.003000
50,315.984,315.2336587905884,314.02866916407703,316.4386484170997,False,0.001163,0.003000
51,316.722,316.0161757469177,314.8111861204064,317.2211653734291,False,0.001029,0.003000
52,317.03,316.7627590894699,315.55776946295856,317.96774871598126,False,0.000148,0.003000
53,317.244,317.07853507995605,315.8735454534447,318.2835247064674,False,0.000057,0.003000
54,317.157,317.2785230875015,316.0735334609902,318.4835127140129,False,0.000031,0.003000
55,316.653,317.1971764564514,315.99218682994007,318.40216608296276,False,0.000612,0.003000
56,315.831,316.70439434051514,315.4994047140038,317.9093839670265,False,0.001576,0.003000
57,315.205,315.87772846221924,314.6727388357079,317.0827180887306,False,0.000935,0.003000
58,313.756,315.2475677728653,314.04257814635395,316.45255739937664,True,0.004597,0.003000
59,312.554,313.79024291038513,312.5852532838738,314.9952325368965,True,0.003158,0.003000
60,311.545,312.60160517692566,311.3966155504143,313.806594803437,False,0.002307,0.003000
61,310.251,311.60004699230194,310.3950573657906,312.8050366188133,True,0.003760,0.003000
62,309.053,310.28840255737305,309.0834129308617,311.4933921838844,True,0.003153,0.003000
63,308.286,309.084738612175,307.87974898566364,310.28972823868634,False,0.001318,0.003000
64,307.733,308.3170492053032,307.11205957879184,309.52203883181454,False,0.000705,0.003000
65,307.531,307.75606232881546,306.5510727023041,308.9610519553268,False,0.000105,0.003000
66,308.199,307.5463582277298,306.34136860121845,308.75134785424115,False,0.000880,0.003000
67,308.791,308.2349918484688,307.03000222195743,309.43998147498013,False,0.000639,0.003000
68,309.426,308.832226395607,307.62723676909565,310.03721602211834,False,0.000728,0.003000
69,310.573,309.45493626594543,308.2499466394341,310.6599258924568,False,0.002583,0.003000
70,311.99,310.60112714767456,309.3961375211632,311.8061167741859,True,0.003985,0.003000
71,312.957,312.02401852607727,310.8190288995659,313.2290081525886,False,0.001798,0.003000
72,314.051,312.984344124794,311.77935449828266,314.18933375130536,False,0.002351,0.003000
73,315.773,314.09041833877563,312.8854287122643,315.295407965287,True,0.005849,0.003000
74,316.871,315.81626772880554,314.6112781022942,317.0212573553169,False,0.002298,0.003000
75,317.499,316.90663516521454,315.7016455387032,318.1116247917259,False,0.000725,0.003000
