idx,is_anomalous,error,threshold
25,True,0.000446,0.010000
26,False,0.000196,0.010000
27,False,0.000048,0.010000
28,False,0.000014,0.010000
29,False,0.000138,0.010000
30,False,0.000062,0.010000
31,False,0.000045,0.010000
32,False,0.000860,0.010000
33,False,0.000652,0.010000
34,False,0.000161,0.010000
35,False,0.000153,0.010000
36,False,0.000718,0.010000
37,False,0.000553,0.010000
38,False,0.000651,0.010000
39,False,0.000027,0.010000
40,False,0.000068,0.010000
41,False,0.000015,0.010000
42,False,0.000089,0.010000
43,False,0.000866,0.010000
44,False,0.000630,0.010000
45,False,0.000721,0.010000
46,False,0.000619,0.010000
47,False,0.001095,0.010000
48,False,0.000883,0.010000
49,False,0.000500,0.010000
50,False,0.000474,0.010000
51,False,0.000344,0.010000
52,False,0.000437,0.010000
53,False,0.000915,0.010000
54,False,0.000008,0.010000
55,False,0.000230,0.010000
56,False,0.000476,0.010000
57,False,0.000354,0.010000
58,False,0.001363,0.010000
59,False,0.001912,0.010000
60,False,0.001218,0.010000
61,False,0.001039,0.010000
62,False,0.000961,0.010000
63,False,0.000412,0.010000
64,False,0.000204,0.010000
65,False,0.000322,0.010000
66,False,0.000507,0.010000
67,False,0.000245,0.010000
68,False,0.000278,0.010000
69,False,0.000888,0.010000
70,False,0.001364,0.010000
71,False,0.000631,0.010000
72,False,0.000915,0.010000
73,False,0.002075,0.010000
74,False,0.000795,0.010000
75,False,0.000262,0.010000
76,False,0.000992,0.010000
77,False,0.000345,0.010000
78,False,0.000588,0.010000
79,False,0.000369,0.010000
80,False,0.000534,0.010000
81,False,0.000760,0.010000
82,False,0.000917,0.010000
83,False,0.001356,0.010000
84,False,0.001763,0.010000
85,False,0.000765,0.010000
86,False,0.000910,0.010000
87,False,0.000856,0.010000
88,False,0.000855,0.010000
89,False,0.000103,0.010000
90,False,0.000132,0.010000
91,False,0.000110,0.010000
92,False,0.000268,0.010000
93,False,0.000666,0.010000
94,False,0.001352,0.010000
95,False,0.001184,0.010000
96,True,0.020813,0.010000
97,False,0.001626,0.010000
98,False,0.001808,0.010000
99,True,0.023433,0.010000
100,False,0.000774,0.010000
101,False,0.000787,0.010000
102,False,0.000182,0.010000
103,False,0.000418,0.010000
104,False,0.000066,0.010000
105,False,0.000270,0.010000
106,False,0.001315,0.010000
107,False,0.000877,0.010000
108,False,0.001429,0.010000
109,False,0.000915,0.010000
110,False,0.001374,0.010000
111,False,0.001018,0.010000
112,False,0.000680,0.010000
113,True,0.016768,0.010000
114,True,0.015516,0.010000
115,False,0.000024,0.010000
116,False,0.000289,0.010000
117,False,0.000612,0.010000
118,False,0.000676,0.010000
119,False,0.001017,0.010000
120,False,0.002070,0.010000
121,False,0.001747,0.010000
122,False,0.000833,0.010000
123,False,0.001522,0.010000
124,False,0.000897,0.010000
125,False,0.000861,0.010000
126,False,0.000356,0.010000
127,False,0.000141,0.010000
128,False,0.000561,0.010000
129,False,0.000326,0.010000
130,False,0.000621,0.010000
131,False,0.001830,0.010000
132,False,0.002050,0.010000
133,False,0.001628,0.010000
134,False,0.001353,0.010000
135,False,0.001144,0.010000
136,False,0.000998,0.010000
137,False,0.000979,0.010000
138,False,0.000313,0.010000
139,False,0.000021,0.010000
140,False,0.000912,0.010000
141,False,0.000294,0.010000
142,False,0.000996,0.010000
143,False,0.001025,0.010000
144,False,0.001218,0.010000
145,False,0.001299,0.010000
146,False,0.001341,0.010000
147,False,0.001119,0.010000
148,False,0.001229,0.010000
149,False,0.000825,0.010000
150,False,0.000755,0.010000
151,False,0.000388,0.010000
152,False,0.000025,0.010000
153,False,0.000416,0.010000
154,False,0.000437,0.010000
155,False,0.000733,0.010000
156,False,0.001480,0.010000
157,False,0.001937,0.010000
158,False,0.001419,0.010000
159,False,0.001602,0.010000
160,False,0.001109,0.010000
161,False,0.000812,0.010000
162,False,0.001011,0.010000
163,False,0.000152,0.010000
164,False,0.000143,0.010000
165,False,0.000335,0.010000
166,False,0.000354,0.010000
167,False,0.000816,0.010000
168,False,0.001097,0.010000
169,False,0.001147,0.010000
170,False,0.001312,0.010000
171,False,0.000920,0.010000
172,False,0.000954,0.010000
173,False,0.000949,0.010000
174,False,0.000462,0.010000
175,False,0.000315,0.010000
176,False,0.000008,0.010000
177,False,0.000399,0.010000
178,False,0.000283,0.010000
