observed,predicted,low,high,anomalous,err,threshold
28.8394,19.2015,,,,,
28.9185,19.2015,,,,,
29.0173,19.202,,,,,
29.1535,19.202,,,,,
29.0744,19.2011,11.2011,27.2011,False,3.80792e-05,0.005
29.6475,19.2014,11.2014,27.2014,False,4.26259e-05,0.005
29.6656,19.2016,11.2016,27.2016,False,4.27717e-05,0.005
28.7429,25.4384,17.4384,33.4384,False,4.26541e-06,0.005
28.6011,27.409,19.409,35.409,False,5.55125e-07,0.005
28.8294,28.1194,20.1194,36.1194,False,1.96903e-07,0.005
28.7886,28.5417,20.5417,36.5417,False,2.38107e-08,0.005
28.8735,28.6888,20.6888,36.6888,False,1.33237e-08,0.005
28.7991,28.799,20.799,36.799,False,7.99361e-15,0.005
29.8359,28.799,20.799,36.799,False,4.19966e-07,0.005
28.3462,29.4165,21.4165,37.4165,False,4.47445e-07,0.005
28.4336,28.7796,20.7796,36.7796,False,4.67727e-08,0.005
28.7328,28.5738,20.5738,36.5737,False,9.88148e-09,0.005
28.4188,28.6673,20.6673,36.6673,False,2.41204e-08,0.005
28.6289,28.5195,20.5195,36.5195,False,4.67194e-09,0.005
28.7105,28.5848,20.5848,36.5848,False,6.17677e-09,0.005
28.7076,28.6594,20.6594,36.6594,False,9.06031e-10,0.005
28.5337,28.6883,20.6883,36.6883,False,9.33526e-09,0.005
28.5336,28.5964,20.5964,36.5964,False,1.53966e-09,0.005
28.456,28.5589,20.5589,36.5589,False,4.1355e-09,0.005
28.7805,28.4975,20.4975,36.4975,False,3.12775e-08,0.005
29.1371,28.666,20.666,36.666,False,8.67111e-08,0.005
29.1463,28.9466,20.9466,36.9466,False,1.55846e-08,0.005
29.1891,29.0659,21.0659,37.0659,False,5.93042e-09,0.005
29.1825,29.1396,21.1396,37.1396,False,7.20424e-10,0.005
29.3637,29.1652,21.1652,37.1652,False,1.53991e-08,0.005
29.1174,29.2834,21.2834,37.2834,False,1.07632e-08,0.005
28.7948,29.1847,21.1847,37.1847,False,5.93757e-08,0.005
28.7215,28.9526,20.9526,36.9526,False,2.08599e-08,0.005
28.9141,28.8147,20.8147,36.8147,False,3.86111e-09,0.005
29.1431,28.8735,20.8735,36.8736,False,2.83824e-08,0.005
28.8313,29.034,21.034,37.034,False,1.60522e-08,0.005
28.9076,28.9136,20.9136,36.9136,False,1.40309e-11,0.005
29.0518,28.9101,20.9101,36.9101,False,7.8408e-09,0.005
28.7679,28.9943,20.9943,36.9943,False,2.00153e-08,0.005
28.5127,28.8596,20.8596,36.8596,False,4.70147e-08,0.005
28.6803,28.6531,20.6531,36.6531,False,2.89583e-10,0.005
28.8119,28.6689,20.6689,36.6689,False,7.98295e-09,0.005
28.8335,28.7539,20.7539,36.7539,False,2.47723e-09,0.005
28.719,28.8015,20.8015,36.8015,False,2.65842e-09,0.005
28.871,28.7525,20.7525,36.7525,False,5.4847e-09,0.005
28.7222,28.823,20.823,36.823,False,3.97044e-09,0.005
28.7466,28.763,20.763,36.763,False,1.04951e-10,0.005
28.6817,28.7533,20.7533,36.7533,False,2.00423e-09,0.005
28.7669,28.7106,20.7106,36.7106,False,1.23827e-09,0.005
28.872,28.7441,20.7441,36.7441,False,6.39205e-09,0.005
28.9882,28.8202,20.8202,36.8202,False,1.10229e-08,0.005
29.0586,28.9203,20.9203,36.9203,False,7.46829e-09,0.005
29.0769,29.0028,21.0028,37.0028,False,2.14626e-09,0.005
28.6237,29.047,21.047,37.047,False,7.00013e-08,0.005
28.5273,28.7951,20.7951,36.7951,False,2.80089e-08,0.005
28.5707,28.6355,20.6355,36.6355,False,1.6378e-09,0.005
28.6725,28.5965,20.5965,36.5965,False,2.25636e-09,0.005
28.4379,28.6416,20.6416,36.6416,False,1.62135e-08,0.005
28.2942,28.5204,20.5204,36.5204,False,1.99874e-08,0.005
28.3341,28.3857,20.3857,36.3857,False,1.04089e-09,0.005
28.5837,28.3547,20.3547,36.3547,False,2.04786e-08,0.005
28.7104,28.4909,20.4909,36.4909,False,1.88133e-08,0.005
28.3152,28.6217,20.6217,36.6217,False,3.67017e-08,0.005
28.2064,28.4395,20.4395,36.4395,False,2.12252e-08,0.005
28.2808,28.3007,20.3007,36.3007,False,1.54352e-10,0.005
28.2817,28.2885,20.2885,36.2885,False,1.79092e-11,0.005
28.1438,28.2844,20.2844,36.2844,False,7.72479e-09,0.005
28.2784,28.2008,20.2008,36.2008,False,2.35257e-09,0.005
28.2885,28.2469,20.2469,36.2469,False,6.75357e-10,0.005
28.2708,28.2716,20.2716,36.2716,False,2.73951e-13,0.005
28.1944,28.2712,20.2712,36.2712,False,2.30618e-09,0.005
28.172,28.2255,20.2255,36.2255,False,1.11774e-09,0.005
28.234,28.1936,20.1936,36.1936,False,6.37657e-10,0.005
28.211,28.2176,20.2176,36.2176,False,1.6838e-11,0.005
28.1589,28.2137,20.2137,36.2137,False,1.17283e-09,0.005
28.0983,28.1811,20.1811,36.1811,False,2.67863e-09,0.005
28.2452,28.1318,20.1318,36.1318,False,5.02519e-09,0.005
28.4361,28.1992,20.1992,36.1992,False,2.19134e-08,0.005
28.4385,28.3403,20.3403,36.3403,False,3.76862e-09,0.005
28.3903,28.3989,20.3989,36.3989,False,2.90976e-11,0.005
28.4816,28.394,20.394,36.394,False,2.99702e-09,0.005
