observed,predicted,low,high,anomalous,err,threshold
1494.35,1484.71,,,,,
1494.66,1484.71,,,,,
1494.71,1484.71,,,,,
1494.86,1484.71,,,,,
1495.5,1484.71,1484.46,1484.96,False,0.0466137,0.005
1495.6,1484.71,1484.46,1484.96,False,0.047478,0.005
1495.74,1484.71,1481.43,1487.99,False,0.0486618,0.0656636
1496.49,1491.29,1488.02,1494.57,False,0.0108009,0.0654718
1496.47,1494.4,1491.16,1497.64,False,0.00171963,0.064777
1496.98,1495.64,1492.44,1498.83,False,0.000723161,0.0639484
1498.14,1496.44,1493.28,1499.6,False,0.00115713,0.0631398
1497.32,1497.45,1494.34,1500.57,False,7.2548e-06,0.0623542
1497.84,1497.38,1494.3,1500.45,False,8.63414e-05,0.061564
1498.77,1497.65,1494.61,1500.69,False,0.000498274,0.0607836
1497.25,1498.32,1495.32,1501.32,False,0.00045737,0.0600197
1497.56,1497.68,1494.72,1500.65,False,5.95028e-06,0.0592651
1497.4,1497.61,1494.68,1500.54,False,1.76228e-05,0.0585139
1496.35,1497.48,1494.59,1500.37,False,0.000513382,0.0577718
1496.45,1496.81,1493.95,1499.66,False,5.10134e-05,0.0570464
1496.13,1496.59,1493.78,1499.41,False,8.58933e-05,0.0563242
1495.99,1496.32,1493.54,1499.1,False,4.24052e-05,0.055611
1495.91,1496.12,1493.38,1498.87,False,1.78472e-05,0.0549066
1496.11,1495.99,1493.28,1498.71,False,5.31234e-06,0.0542108
1496.08,1496.06,1493.39,1498.74,False,1.11135e-07,0.0535237
1496.33,1496.07,1493.43,1498.72,False,2.63719e-05,0.0528452
1496.71,1496.23,1493.62,1498.84,False,9.34413e-05,0.0521757
1496.91,1496.52,1493.94,1499.09,False,6.23893e-05,0.0515156
1496.92,1496.75,1494.21,1499.29,False,1.1401e-05,0.0508634
1497.2,1496.85,1494.34,1499.36,False,4.82846e-05,0.0502188
1497.48,1497.06,1494.58,1499.54,False,7.05013e-05,0.0495828
1497.38,1497.31,1494.86,1499.76,False,1.91502e-06,0.0489552
1497.58,1497.35,1494.94,1499.77,False,2.06828e-05,0.0483347
1497.91,1497.49,1495.1,1499.87,False,7.10378e-05,0.0477222
1498.15,1497.74,1495.38,1500.1,False,6.72154e-05,0.0471182
1498.99,1497.99,1495.66,1500.31,False,0.000403912,0.0465216
1498.66,1498.59,1496.29,1500.88,False,2.22542e-06,0.0459373
1498.89,1498.63,1496.36,1500.9,False,2.69233e-05,0.0453552
1498.85,1498.79,1496.55,1501.03,False,1.61562e-06,0.0447803
1498.3,1498.82,1496.61,1501.03,False,0.000109836,0.0442126
1498.19,1498.51,1496.33,1500.69,False,4.13721e-05,0.0436537
1498.07,1498.32,1496.16,1500.47,False,2.48797e-05,0.0431009
1498.06,1498.17,1496.04,1500.3,False,4.81358e-06,0.0425548
1497.66,1498.1,1496,1500.2,False,7.88674e-05,0.0420154
1496.93,1497.84,1495.76,1499.91,False,0.000330368,0.0414837
1496.94,1497.3,1495.25,1499.34,False,5.07939e-05,0.0409623
1497.26,1497.08,1495.06,1499.11,False,1.25513e-05,0.0404438
1497.46,1497.19,1495.19,1499.18,False,2.96617e-05,0.0399311
1497.78,1497.35,1495.38,1499.32,False,7.38861e-05,0.0394252
1497.69,1497.61,1495.66,1499.55,False,2.73936e-06,0.0389264
1497.44,1497.66,1495.74,1499.58,False,1.88355e-05,0.038433
1497.52,1497.53,1495.63,1499.43,False,2.435e-08,0.037946
1497.36,1497.52,1495.65,1499.4,False,1.06308e-05,0.037465
1497.81,1497.43,1495.58,1499.27,False,5.91794e-05,0.0369902
1497.67,1497.66,1495.83,1499.48,False,9.02446e-08,0.0365221
1497.76,1497.66,1495.86,1499.47,False,3.69321e-06,0.0360592
1497.52,1497.72,1495.94,1499.5,False,1.6286e-05,0.0356021
1498.13,1497.6,1495.84,1499.36,False,0.000111837,0.0351509
1498.56,1497.92,1496.18,1499.65,False,0.000165475,0.0347067
1498.87,1498.3,1496.59,1500.01,False,0.000129651,0.034269
1498.99,1498.64,1496.95,1500.33,False,4.86098e-05,0.0338363
1499.29,1498.85,1497.18,1500.52,False,7.73881e-05,0.0334079
1499.73,1499.11,1497.46,1500.76,False,0.000152152,0.0329853
1499.7,1499.48,1497.85,1501.11,False,1.90503e-05,0.0325692
1499.86,1499.61,1498,1501.22,False,2.44876e-05,0.0321566
1499.46,1499.76,1498.17,1501.35,False,3.6214e-05,0.0317492
1499.14,1499.58,1498.01,1501.15,False,7.78765e-05,0.0313471
1499.53,1499.32,1497.77,1500.87,False,1.79971e-05,0.0309508
1499.05,1499.44,1497.92,1500.97,False,6.20583e-05,0.0305587
1499.3,1499.21,1497.7,1500.72,False,3.35276e-06,0.0301721
1499,1499.26,1497.77,1500.75,False,2.77642e-05,0.0297896
1499.25,1499.11,1497.64,1500.58,False,8.33276e-06,0.0294124
1499.33,1499.19,1497.74,1500.64,False,7.61e-06,0.0290396
1499.2,1499.27,1497.84,1500.71,False,2.19794e-06,0.0286716
1499.05,1499.23,1497.81,1500.65,False,1.29772e-05,0.0283081
1498.69,1499.12,1497.73,1500.52,False,7.49164e-05,0.0279494
1498.74,1498.86,1497.48,1500.24,False,6.16356e-06,0.0275961
1498.68,1498.79,1497.43,1500.15,False,4.8107e-06,0.0272464
1499.01,1498.72,1497.38,1500.07,False,3.2763e-05,0.026901
1499.2,1498.89,1497.57,1500.22,False,3.72776e-05,0.0265604
1499.26,1499.08,1497.77,1500.39,False,1.34045e-05,0.0262242
1499.42,1499.19,1497.89,1500.48,False,2.1778e-05,0.025892
1499.82,1499.33,1498.05,1500.6,False,9.74779e-05,0.025564
1499.16,1499.62,1498.36,1500.88,False,8.50546e-05,0.0252412
1499.23,1499.35,1498.1,1500.59,False,5.40146e-06,0.0249224
1498.94,1499.28,1498.05,1500.51,False,4.54747e-05,0.0246064
1499.41,1499.08,1497.86,1500.29,False,4.48937e-05,0.0242951
1500.68,1499.28,1498.06,1500.49,True,0.000789658,0.0242951
1500.63,1499.27,1498.06,1500.49,True,0.00073466,0.0242951
1500.23,1499.28,1498.06,1500.49,True,0.000364555,0.0242951
1500.32,1499.28,1498.06,1500.49,True,0.000436634,0.0242951
1500.06,1499.28,1498.06,1500.49,True,0.000246426,0.0242951
1499.78,1499.28,1498.08,1500.47,False,0.000101957,0.023988
1500.16,1499.58,1498.38,1500.78,True,0.000136165,0.023988
1500.14,1499.58,1498.38,1500.78,True,0.000126906,0.023988
1499.9,1499.58,1498.39,1500.76,False,4.16517e-05,0.023685
1499.63,1499.77,1498.6,1500.94,False,7.81159e-06,0.0233853
1499.68,1499.69,1498.53,1500.84,False,1.62548e-08,0.0230888
1499.55,1499.68,1498.54,1500.82,False,7.06311e-06,0.0227961
1499.69,1499.6,1498.48,1500.73,False,3.00455e-06,0.0225072
1498.96,1499.66,1498.54,1500.77,False,0.000193258,0.0222219
1497.96,1499.24,1498.14,1500.34,False,0.000655349,0.0219424
1497.89,1498.48,1497.39,1499.56,False,0.000137249,0.0216731
1498.53,1498.12,1497.05,1499.19,False,6.56511e-05,0.0214004
1498.86,1498.37,1497.31,1499.42,False,9.7849e-05,0.0211295
1498.42,1498.66,1497.62,1499.7,False,2.31617e-05,0.0208629
1498.19,1498.52,1497.49,1499.55,False,4.30285e-05,0.0205987
1498.47,1498.32,1497.31,1499.34,False,8.70609e-06,0.0203381
