observed,predicted,low,high,anomalous,err,threshold
13.424,11.0173,,,,,
13.4913,11.0173,,,,,
13.4706,11.0173,,,,,
13.4658,11.0172,,,,,
13.6882,11.0172,10.9872,11.0472,False,0.00792653,0.001
13.5161,11.0172,10.9872,11.0472,False,0.00693828,0.001
13.5503,11.0174,10.4261,11.6086,False,0.00712863,0.0197083
14.1037,12.5265,11.9399,13.113,False,0.00276409,0.0195507
14.1483,13.4656,12.8855,14.0458,False,0.000517831,0.0193384
14.2222,13.8724,13.2995,14.4453,False,0.000135954,0.0190963
14.5908,14.0812,13.5156,14.6468,False,0.000288551,0.0188541
14.3096,14.3846,13.826,14.9431,False,6.24805e-06,0.0186187
14.4959,14.3402,13.7887,14.8917,False,2.69338e-05,0.0183828
14.4089,14.4331,13.8886,14.9776,False,6.50603e-07,0.0181499
14.4742,14.4185,13.8809,14.9561,False,3.44241e-06,0.0179199
14.5408,14.4518,13.921,14.9826,False,8.80291e-06,0.0176928
14.3825,14.5047,13.9807,15.0288,False,1.65949e-05,0.0174686
14.1748,14.4321,13.9147,14.9495,False,7.35458e-05,0.0172473
14.13,14.279,13.7681,14.7899,False,2.46643e-05,0.0170297
14.0047,14.1901,13.6857,14.6945,False,3.82e-05,0.0168142
13.9631,14.0796,13.5815,14.5776,False,1.50729e-05,0.0166015
14.0025,14.0102,13.5184,14.5019,False,6.52474e-08,0.0163912
14.062,14.0055,13.52,14.491,False,3.55108e-06,0.0161834
14.081,14.0391,13.5597,14.5184,False,1.95298e-06,0.0159783
14.0417,14.0641,13.5908,14.5373,False,5.56222e-07,0.0157758
14.0309,14.0508,13.5835,14.5181,False,4.4089e-07,0.0155759
14.0886,14.039,13.5776,14.5003,False,2.7365e-06,0.0153785
14.076,14.0685,13.613,14.524,False,6.30584e-08,0.0151836
14.1612,14.073,13.6232,14.5227,False,8.65201e-06,0.0149911
14.1823,14.1255,13.6815,14.5695,False,3.58373e-06,0.0148012
14.2418,14.1593,13.7209,14.5977,False,7.5578e-06,0.0146136
14.4161,14.2085,13.7756,14.6413,False,4.78927e-05,0.0144285
14.5427,14.3321,13.9047,14.7595,False,4.92929e-05,0.0142462
14.5484,14.4575,14.0355,14.8795,False,9.17423e-06,0.0140663
14.7246,14.5118,14.0952,14.9285,False,5.031e-05,0.0138881
14.7341,14.6386,14.2272,15.0499,False,1.01406e-05,0.0137127
14.7791,14.6955,14.2893,15.1017,False,7.76667e-06,0.013539
14.716,14.7454,14.3444,15.1464,False,9.61315e-07,0.0133675
14.6472,14.7279,14.332,15.1239,False,7.24389e-06,0.0131981
14.7033,14.6799,14.289,15.0708,False,6.07496e-07,0.0130309
14.6079,14.6938,14.3078,15.0797,False,8.19057e-06,0.0128657
14.5569,14.6426,14.2615,15.0237,False,8.1633e-06,0.0127027
14.4284,14.5916,14.2154,14.9679,False,2.96e-05,0.0125418
14.2442,14.4944,14.1229,14.8659,False,6.95497e-05,0.0123832
14.1955,14.3454,13.9786,14.7122,False,2.49705e-05,0.0122272
14.3451,14.256,13.8938,14.6182,False,8.8183e-06,0.0120725
14.3979,14.3088,13.9512,14.6664,False,8.8137e-06,0.0119196
14.5174,14.3618,14.0088,14.7149,False,2.68896e-05,0.0117686
14.4589,14.4546,14.106,14.8031,False,2.10043e-08,0.0116198
14.3457,14.4572,14.1131,14.8014,False,1.38223e-05,0.0114725
14.3294,14.391,14.0511,14.7308,False,4.21037e-06,0.0113273
14.2552,14.3542,14.0187,14.6897,False,1.08972e-05,0.0111838
14.386,14.2952,13.9639,14.6265,False,9.16268e-06,0.0110422
14.5067,14.3492,14.0221,14.6762,False,2.75704e-05,0.0109023
