observed,predicted,low,high,anomalous,err,threshold
2.38731,-0.831599,,,,,
2.12654,-0.842066,,,,,
-4.32752,-0.857835,,,,,
9.23211,-0.832714,,,,,
4.89921,-0.809141,-2.80914,1.19086,False,0.0203658,0.05
5.01557,-0.837719,-2.83772,1.16228,False,0.0214131,0.05
3.89354,-0.849607,-4.10614,2.40693,False,0.0140609,0.0814133
10.7825,1.99157,-1.22994,5.21307,False,0.0483003,0.0805376
1.09074,7.2286,4.02272,10.4345,False,0.0235458,0.080147
9.41184,3.57498,0.396976,6.75299,False,0.0212931,0.0794502
1.40288,7.05529,3.90748,10.2031,False,0.0199686,0.0786952
12.4512,3.68277,0.5655,6.80004,False,0.0480534,0.0779317
-12.2742,8.91038,5.81388,12.0069,True,0.280492,0.0774126
-0.871254,-3.68425,-6.89347,-0.475035,False,0.0049456,0.0802305
-3.83141,-2.01028,-5.18586,1.16529,False,0.00207281,0.0793894
0.66047,-3.1106,-6.23861,0.0174046,False,0.00888812,0.0782002
3.23546,-0.858767,-3.95158,2.23404,False,0.0104767,0.0773202
0.656307,1.57783,-1.48155,4.63721,False,0.000530754,0.0764844
-2.5953,1.03422,-1.98642,4.05485,False,0.00823337,0.0755158
-1.75703,-1.12482,-4.11132,1.86167,False,0.000249804,0.0746624
-7.4767,-1.50452,-4.4529,1.44387,False,0.0222919,0.0737096
-4.13096,-5.06134,-7.98417,-2.13852,False,0.000541008,0.0730706
7.29167,-4.50965,-7.39402,-1.62528,True,0.0870445,0.0721092
-4.51345,2.51114,-0.382367,5.40465,False,0.0308406,0.0723378
10.0017,-1.66228,-4.53542,1.21085,True,0.0850303,0.0718284
2.51174,5.28629,2.40563,8.16694,False,0.00481132,0.0720164
0.244949,3.63103,0.783665,6.4784,False,0.00716597,0.0711842
-3.28092,1.62451,-1.18787,4.43688,False,0.0150395,0.0703094
-3.91287,-1.30223,-4.08699,1.48254,False,0.00425966,0.0696191
-3.32154,-2.85964,-5.61149,-0.107788,False,0.000133346,0.0687963
2.16469,-3.13799,-5.85425,-0.421729,False,0.017574,0.0679065
10.1547,0.0173664,-2.67229,2.70702,False,0.0642285,0.0672414
2.06408,6.05506,3.36465,8.74547,False,0.00995493,0.0672602
6.58427,3.68721,1.02489,6.34953,False,0.0052456,0.066558
6.17696,5.41607,2.78636,8.04578,False,0.000361847,0.0657427
1.66621,5.86446,3.26834,8.46057,False,0.0110158,0.0649029
6.82504,3.36851,0.79967,5.93735,False,0.00746724,0.064221
3.98207,5.42442,2.88393,7.96491,False,0.00130024,0.0635123
7.81041,4.56391,2.05525,7.07256,False,0.00658736,0.0627164
8.27311,6.50008,4.0199,8.98026,False,0.00196477,0.0620045
-4.03575,7.55521,5.10735,10.0031,True,0.083969,0.0611965
-0.496477,0.658185,-1.8039,3.12027,False,0.000833278,0.0615521
9.83566,-0.0336456,-2.46509,2.3978,True,0.060877,0.0607862
1.32765,5.8323,3.40149,8.2631,False,0.0126824,0.0607701
0.252195,3.15756,0.749667,5.56546,False,0.00527573,0.0601974
-8.19864,1.43396,-0.943328,3.81124,False,0.0579918,0.0594321
1.89353,-4.30619,-6.68387,-1.92851,False,0.0240228,0.059442
-2.52688,-0.621551,-2.98301,1.73991,False,0.00226892,0.0590365
2.34728,-1.75831,-4.08957,0.57296,False,0.0105349,0.0582817
0.486942,0.691137,-1.61562,2.99789,False,2.606e-05,0.0576688
-6.93011,0.56833,-1.70849,2.84515,False,0.0351416,0.0569206
-2.7734,-3.89066,-6.1573,-1.62401,False,0.000780163,0.0566662
4.80737,-3.23045,-5.4685,-0.992405,False,0.0403791,0.0559512
-0.575975,1.54844,-0.682003,3.77888,False,0.00282071,0.055761
-4.18851,0.290689,-1.91347,2.49485,False,0.0125395,0.055104
-12.4147,-2.37045,-4.55081,-0.190098,True,0.0630543,0.0545089
2.19833,-8.3529,-10.5382,-6.16759,True,0.0695802,0.0546327
7.42245,-2.08139,-4.27613,0.113339,True,0.0564519,0.0548683
2.84686,3.57371,1.37676,5.77067,False,0.000330197,0.0549239
0.864816,3.15549,0.987208,5.32377,False,0.00327949,0.054207
-3.63995,1.79563,-0.344844,3.9361,False,0.0184659,0.0535118
1.32899,-1.44354,-3.56681,0.679727,False,0.00480432,0.0530817
1.07993,0.202889,-1.89631,2.30209,False,0.000480749,0.0524801
1.00866,0.722773,-1.34963,2.79517,False,5.10815e-05,0.05181
2.5103,0.896814,-1.14918,2.9428,False,0.00162709,0.0511497
-2.77494,1.85705,-0.163555,3.87765,False,0.0134096,0.050515
-0.856902,-0.898997,-2.90127,1.10327,False,1.1075e-06,0.0500568
4.89406,-0.874712,-2.87471,1.12529,False,0.0207992,0.05
0.247087,2.55482,0.554819,4.55482,False,0.00332852,0.05
-4.78699,1.18505,-0.814955,3.18505,False,0.0222908,0.05
-3.31382,-2.36563,-4.36563,-0.365628,False,0.000561917,0.05
-7.94971,-2.93552,-4.93552,-0.935524,False,0.0157138,0.05
-2.42683,-5.92287,-7.92287,-3.92287,False,0.00763893,0.05
-11.0976,-3.84372,-5.84372,-1.84372,False,0.0328867,0.05
3.96819,-8.16117,-10.1612,-6.16117,True,0.0919509,0.05
11.7568,-0.943631,-2.94363,1.05637,True,0.100813,0.05
2.69632,6.61459,4.58708,8.64211,False,0.00959555,0.0506879
0.48816,4.29795,2.29185,6.30404,False,0.00907154,0.0501525
-8.73709,2.03489,0.0348926,4.03489,True,0.0725223,0.05
-6.54068,-4.38314,-6.38314,-2.38314,False,0.00290935,0.05
-2.1025,-5.6724,-7.6724,-3.6724,False,0.00796509,0.05
9.77567,-3.55528,-5.55528,-1.55528,True,0.111071,0.05
1.59017,4.38085,2.3545,6.40721,False,0.00486744,0.0506589
4.21778,2.72777,0.722542,4.73299,False,0.00138759,0.0501306
-1.44338,3.62202,1.62202,5.62202,False,0.0160364,0.05
0.75783,0.602233,-1.39777,2.60223,False,1.51315e-05,0.05
-1.06869,0.694783,-1.30522,2.69478,False,0.00194365,0.05
-8.16005,-0.35834,-2.35834,1.64166,False,0.0380417,0.05
-1.14479,-4.99956,-6.99956,-2.99956,False,0.00928704,0.05
1.84141,-2.7101,-4.7101,-0.710104,False,0.0129477,0.05
-3.33475,-0.00500202,-2.005,1.995,False,0.00692951,0.05
-2.86257,-1.97994,-3.97994,0.0200605,False,0.000486898,0.05
2.05692,-2.50431,-4.50431,-0.504307,False,0.013003,0.05
2.38689,0.20601,-1.79399,2.20601,False,0.00297265,0.05
-4.55216,1.50577,-0.49423,3.50577,False,0.0229366,0.05
0.361002,-2.0948,-4.0948,-0.0948,False,0.00376935,0.05
1.70854,-0.635368,-2.63537,1.36463,False,0.00343369,0.05
-10.4848,0.755496,-1.2445,2.7555,True,0.0789652,0.05
-6.88668,-5.92794,-7.92794,-3.92794,False,0.000574487,0.05
-0.203512,-6.5014,-8.5014,-4.5014,False,0.0247896,0.05
-2.02749,-2.76316,-4.76316,-0.76316,False,0.000338257,0.05
-1.42103,-2.32072,-4.32072,-0.320715,False,0.000505896,0.05
-6.08416,-1.78049,-3.78049,0.219512,False,0.011576,0.05
-3.84583,-4.34194,-6.34194,-2.34194,False,0.00015383,0.05
1.58289,-4.04785,-6.04785,-2.04785,False,0.0198158,0.05
2.32283,-0.700749,-2.70075,1.29925,False,0.00571377,0.05
2.2493,1.10188,-0.898118,3.10188,False,0.000822855,0.05
4.37084,1.7896,-0.210402,3.7896,False,0.00416425,0.05
-5.44037,3.32682,1.32682,5.32682,False,0.0480397,0.05
1.01178,-1.88936,-3.88937,0.110636,False,0.0052604,0.05
-2.66087,-0.164428,-2.16443,1.83557,False,0.00389514,0.05
5.23459,-1.65575,-3.65575,0.344253,False,0.029673,0.05
