observed,predicted,low,high,anomalous,err,threshold
25.2406,265.266,,,,,
36.4952,265.006,,,,,
4.13451,265,,,,,
352.746,265.267,,,,,
295.193,265.27,245.27,285.27,False,0.00559613,0.05
1.90005,265.269,245.269,285.269,False,0.433521,0.05
21.4951,265.503,245.503,285.503,True,0.372125,0.05
226.138,122.28,102.28,142.28,True,0.067415,0.05
294.742,183.865,163.865,203.865,True,0.0768361,0.05
290.583,249.919,229.919,269.919,False,0.0103347,0.05
308.656,274.285,254.285,294.285,False,0.0073835,0.05
276.823,294.816,274.816,314.816,False,0.00202338,0.05
324.455,284.1,264.1,304.1,False,0.0101782,0.05
311.961,308.157,288.157,328.157,False,9.04567e-05,0.05
340.216,310.407,290.407,330.407,False,0.00555343,0.05
3.30408,328.207,308.207,348.207,True,0.659763,0.05
0.673438,153.973,132.586,175.359,True,0.146879,0.0534657
9.23373,62.6774,40.6334,84.7214,False,0.0178514,0.05511
340.668,30.6852,9.13972,52.2307,True,0.600558,0.0538638
19.6206,200.501,176.282,224.719,True,0.204485,0.0605467
322.868,92.9385,67.8851,117.992,True,0.330422,0.0626333
309.828,228.724,202.346,255.102,False,0.041112,0.0659449
309.033,276.955,250.678,303.232,False,0.00643106,0.0656926
318.695,296.187,270.298,322.076,False,0.00316634,0.0647217
299.061,309.6,284.033,335.167,False,0.000694195,0.0639168
290.661,303.33,278.085,328.575,False,0.00100311,0.0631123
318.117,295.787,270.859,320.716,False,0.0031163,0.062322
43.8487,309.076,284.555,333.597,True,0.43966,0.0613019
357.314,156.2,129.678,182.723,True,0.252792,0.0663054
315.735,275.796,248.159,303.433,False,0.00996958,0.0690928
329.997,299.531,272.264,326.798,False,0.00580102,0.0681671
295.483,317.795,290.916,344.674,False,0.0031113,0.0671975
313.821,304.506,277.953,331.06,False,0.000542281,0.0663832
319.939,310.053,283.835,336.271,False,0.000610837,0.065546
291.908,315.929,290.041,341.817,False,0.00360633,0.0647193
335.773,301.636,276.059,327.214,False,0.00728318,0.0639432
260.177,321.959,296.672,347.246,False,0.0238563,0.0632182
270.875,285.175,260.08,310.271,False,0.00127813,0.0627391
259.23,276.661,251.875,301.448,False,0.00189909,0.0619668
261.066,266.256,241.78,290.732,False,0.000168325,0.06119
259.684,263.164,238.998,287.331,False,7.5711e-05,0.0604167
264.995,261.087,237.227,284.947,False,9.5442e-05,0.0596505
258.867,263.412,239.854,286.97,False,0.000129117,0.0588955
246.434,260.708,237.448,283.968,False,0.00127335,0.0581499
257.791,252.214,229.242,275.186,False,0.000194418,0.0574299
273.631,255.526,232.845,278.208,False,0.00204859,0.0567038
24.4449,266.298,243.983,288.614,True,0.365582,0.0557887
98.6749,124.5,100.495,148.505,False,0.00416824,0.0600124
271.879,109.066,85.3061,132.826,True,0.165675,0.0594004
288.452,205.83,181.593,230.066,False,0.0426654,0.0605904
236.317,255.045,230.854,279.237,False,0.00219221,0.0604794
2.76352,243.982,220.214,267.75,True,0.363665,0.0594195
243.4,102.516,77.1288,127.904,True,0.124051,0.0634693
237.957,186.247,160.44,212.053,False,0.0167122,0.0645165
208.898,216.953,191.464,242.442,False,0.000405542,0.0637232
219.348,212.252,187.117,237.387,False,0.00031471,0.062838
342.872,216.475,191.685,241.265,True,0.0998514,0.0619741
228.488,291.667,266.659,316.675,False,0.0249473,0.0625208
215.892,254.105,229.261,278.95,False,0.00912668,0.0621105
154.84,231.416,206.87,255.962,False,0.0366494,0.0613641
172.181,185.82,161.393,210.246,False,0.00116258,0.0610664
167.441,177.686,153.558,201.814,False,0.000656025,0.0603198
156.254,171.567,147.753,195.382,False,0.00146563,0.0595368
149.071,162.462,138.941,185.982,False,0.00112068,0.0588008
193.349,154.493,131.267,177.719,False,0.00943619,0.0580653
171.215,177.594,154.611,200.576,False,0.000254298,0.0574559
70.9684,173.805,151.127,196.484,True,0.0660967,0.0566958
49.3413,112.663,89.9238,135.402,False,0.02506,0.0568473
157.927,74.974,52.3849,97.5632,False,0.0430075,0.0564728
132.118,124.264,101.743,146.784,False,0.000385553,0.0563013
140.702,128.943,106.704,151.181,False,0.000864284,0.055596
135.563,135.971,114.022,157.919,False,1.03934e-06,0.0548715
100.841,135.725,114.056,157.393,False,0.00760549,0.0541716
101.906,114.983,93.5484,136.417,False,0.00106879,0.0535863
153.135,107.198,86.0306,128.365,False,0.013189,0.0529176
102.587,134.502,113.536,155.469,False,0.00636612,0.052416
165.655,115.532,94.798,136.265,False,0.0157022,0.0518341
150.455,145.349,124.796,165.902,False,0.000162931,0.0513824
156.116,148.38,128.086,168.675,False,0.000374031,0.0507363
157.256,153.002,132.967,173.036,False,0.000113117,0.0500867
165.365,155.53,135.53,175.53,False,0.000604575,0.05
176.772,161.381,141.381,181.381,False,0.00148042,0.05
218.068,170.536,150.536,190.536,False,0.0141203,0.05
223.772,198.809,178.809,218.809,False,0.00389454,0.05
225.509,213.669,193.669,233.669,False,0.000876186,0.05
264.07,220.732,200.732,240.732,False,0.0117388,0.05
272.034,246.517,226.517,266.517,False,0.00406944,0.05
262.411,261.706,241.706,281.706,False,3.10644e-06,0.05
270.786,262.146,242.146,282.146,False,0.000466547,0.05
292.851,267.292,247.292,287.292,False,0.00408278,0.05
343.961,282.498,262.498,302.498,False,0.0236103,0.05
286.315,319.086,299.086,339.086,False,0.00671193,0.05
327.247,299.601,279.601,319.601,False,0.00477702,0.05
326.682,316.077,296.077,336.077,False,0.000702938,0.05
299.901,322.37,302.37,342.37,False,0.00315534,0.05
323.683,309.015,289.015,329.015,False,0.00134477,0.05
302.18,317.744,297.744,337.744,False,0.00151401,0.05
190.319,308.47,288.47,328.47,True,0.0872478,0.05
231.102,238.177,218.177,258.177,False,0.000312843,0.05
303.163,233.944,213.944,253.944,False,0.0299455,0.05
265.763,275.074,255.074,295.074,False,0.000541849,0.05
293.938,269.556,249.556,289.556,False,0.00371555,0.05
308.27,284.094,264.094,304.094,False,0.00365295,0.05
252.381,298.471,278.471,318.471,False,0.0132766,0.05
246.714,271.061,251.061,291.061,False,0.00370495,0.05
287.111,256.578,236.578,276.578,False,0.00582664,0.05
308.413,274.717,254.717,294.717,False,0.00709632,0.05
277.66,294.766,274.766,314.766,False,0.00182887,0.05
83.6623,284.609,264.609,304.609,True,0.252371,0.05
81.2108,165.105,144.093,186.117,False,0.0439887,0.0525303
263.034,115.181,94.1792,136.183,True,0.136628,0.0525053
123.064,203.024,181.625,224.422,False,0.0399596,0.0534968
112.234,155.485,134.129,176.84,False,0.0116913,0.0533892
106.483,129.831,108.716,150.947,False,0.00340712,0.0527883
113.538,115.892,95.0356,136.749,False,3.46421e-05,0.0521417
84.9306,114.481,93.8927,135.07,False,0.00545774,0.0514712
113.79,96.9045,76.549,117.26,False,0.00178199,0.0508889
29.6903,106.944,86.844,127.043,False,0.0373004,0.0502487
31.2169,60.9938,40.9504,81.0373,False,0.00554166,0.0501086
17.9849,43.2824,23.2824,63.2824,False,0.00399976,0.05
55.3081,28.2002,8.20021,48.2002,False,0.00459274,0.05
56.6907,44.3187,24.3187,64.3187,False,0.000956661,0.05
56.8599,51.6758,31.6758,71.6758,False,0.000167968,0.05
65.0163,54.7729,34.7729,74.7729,False,0.000655797,0.05
34.6219,60.8675,40.8675,80.8675,False,0.00430518,0.05
38.2492,45.2596,25.2596,65.2596,False,0.000307159,0.05
53.5205,41.0891,21.0891,61.0891,False,0.000965873,0.05
47.1765,48.472,28.472,68.472,False,1.04895e-05,0.05
53.7153,47.7035,27.7035,67.7035,False,0.000225885,0.05
28.2742,51.284,31.2841,71.284,False,0.00330908,0.05
4.20771,37.597,17.597,57.597,False,0.00696778,0.05
56.2698,17.7335,-2.26651,37.7335,False,0.00928154,0.05
81.0097,40.6436,20.6436,60.6436,False,0.0101839,0.05
213.703,64.6485,44.6485,84.6485,True,0.138858,0.05
218.385,153.302,133.025,173.579,False,0.0264738,0.0506928
46.7804,192.025,171.868,212.182,True,0.13185,0.0503925
56.8159,105.724,85.1494,126.298,False,0.0149497,0.0514352
20.6361,76.6446,56.2357,97.0534,False,0.0196059,0.0510222
76.4012,43.2723,23.0537,63.4909,False,0.00685951,0.0505465
36.499,62.9669,42.9669,82.9669,False,0.00437842,0.05
169.009,47.2145,27.2145,67.2145,True,0.0927119,0.05
22.8097,119.652,99.4467,139.857,True,0.0586151,0.0505131
169.988,62.0713,41.8057,82.3369,True,0.0727876,0.050664
