observed,predicted,low,high,anomalous,err,threshold
5.83332,-26.6906,,,,,
6.51211,-26.6855,,,,,
0.973189,-26.6999,,,,,
-5.75178,-26.6707,,,,,
-36.5706,-26.6909,-36.6909,-16.6909,False,0.00244024,0.05
1.03982,-26.6968,-36.6968,-16.6968,False,0.019233,0.05
12.1023,-26.7014,-36.7014,-16.7014,False,0.0376431,0.05
-9.03404,-3.61435,-13.6144,6.38565,False,0.000734326,0.05
-45.8618,-6.79654,-16.7965,3.20346,False,0.0381524,0.05
-39.1265,-30.0364,-40.0364,-20.0364,False,0.00206573,0.05
-47.6443,-35.4769,-45.4769,-25.4769,False,0.00370114,0.05
-50.7667,-42.748,-52.748,-32.748,False,0.0016075,0.05
-29.4343,-47.5191,-57.5191,-37.5191,False,0.00817653,0.05
-41.0733,-36.7665,-46.7665,-26.7665,False,0.000463704,0.05
-17.8673,-39.3238,-49.3238,-29.3238,False,0.0115095,0.05
3.85646,-26.5424,-36.5424,-16.5424,False,0.0231023,0.05
0.658464,-8.45463,-18.4546,1.54537,False,0.00207621,0.05
11.5875,-3.00305,-13.0031,6.99695,False,0.0053221,0.05
-23.6044,5.69894,-4.30106,15.6989,False,0.0214671,0.05
7.71248,-11.7354,-21.7354,-1.73543,False,0.00945554,0.05
-42.7813,-0.165278,-10.1653,9.83472,False,0.0454031,0.05
-60.0988,-25.5417,-35.5417,-15.5417,False,0.0298548,0.05
-31.9632,-46.0988,-56.0988,-36.0987,False,0.00499535,0.05
-16.331,-37.7373,-47.7373,-27.7373,False,0.0114558,0.05
-45.3752,-25.0057,-35.0057,-15.0057,False,0.0103729,0.05
-46.0403,-37.0966,-47.0966,-27.0966,False,0.00199974,0.05
-44.2859,-42.4154,-52.4154,-32.4154,False,8.74688e-05,0.05
7.69505,-43.5534,-53.5534,-33.5534,True,0.06566,0.05
-1.87377,-13.0603,-23.0603,-3.06031,False,0.00312846,0.05
-43.7623,-6.38313,-16.3831,3.61687,False,0.03493,0.05
-29.7386,-28.581,-38.581,-18.581,False,3.35002e-05,0.05
-41.7834,-29.2906,-39.2906,-19.2906,False,0.00390173,0.05
-39.5777,-36.7558,-46.7558,-26.7558,False,0.000199083,0.05
-29.2024,-38.4289,-48.4289,-28.4289,False,0.00212823,0.05
-47.6348,-32.9487,-42.9487,-22.9487,False,0.005392,0.05
-10.2579,-41.682,-51.682,-31.682,False,0.0246868,0.05
-57.5544,-22.9821,-32.9821,-12.9821,False,0.0298811,0.05
-58.0635,-43.554,-53.554,-33.554,False,0.00526317,0.05
-59.9542,-52.1744,-62.1744,-42.1744,False,0.00151314,0.05
-61.1171,-56.8445,-66.8445,-46.8445,False,0.000456377,0.05
-66.5511,-59.39,-69.39,-49.39,False,0.00128205,0.05
-46.1517,-63.6546,-73.6546,-53.6546,False,0.00765875,0.05
-20.9271,-53.242,-63.242,-43.242,False,0.0261063,0.05
-52.2259,-34.0101,-44.0101,-24.0101,False,0.00829542,0.05
-54.0179,-44.8212,-54.8212,-34.8212,False,0.00211446,0.05
-22.5122,-50.283,-60.283,-40.283,False,0.0192804,0.05
4.72821,-33.7852,-43.7852,-23.7852,False,0.037082,0.05
2.85033,-10.8607,-20.8607,-0.860721,False,0.00469982,0.05
-7.36577,-2.66551,-12.6655,7.33449,False,0.000552311,0.05
-9.69766,-5.43694,-15.4369,4.56306,False,0.000453844,0.05
