observed,predicted,low,high,anomalous,err,threshold
13.6797,38.133,,,,,
10.9492,38.1083,,,,,
13.4981,38.1073,,,,,
45.5527,38.1247,,,,,
40.4149,38.1558,33.1558,43.1558,False,0.000510369,0.05
31.3613,38.1492,33.1492,43.1492,False,0.00460758,0.05
33.0282,38.1333,33.1333,43.1333,False,0.00260621,0.05
8.90945,35.0989,30.0989,40.0989,True,0.0685886,0.05
50.4975,19.506,14.506,24.506,True,0.0960476,0.05
41.7945,37.9391,32.9391,42.9391,False,0.00148638,0.05
61.0109,40.2303,35.2303,45.2303,False,0.0431833,0.05
44.7099,52.6235,47.6235,57.6235,False,0.00626252,0.05
64.0884,47.9167,42.9167,52.9167,False,0.0261525,0.05
55.2354,57.5493,52.5493,62.5493,False,0.000535422,0.05
52.7886,56.1676,51.1676,61.1676,False,0.00114176,0.05
66.9116,54.1688,49.1688,59.1688,False,0.0162379,0.05
56.0228,61.745,56.745,66.745,False,0.00327436,0.05
72.2134,58.3428,53.3428,63.3428,False,0.0192394,0.05
71.3053,66.6056,61.6056,71.6056,False,0.00220871,0.05
22.9681,69.4005,64.4005,74.4005,True,0.215597,0.05
70.8713,41.7828,36.7828,46.7828,True,0.0846142,0.05
78.2563,59.0743,54.0743,64.0743,False,0.036795,0.05
41.1483,70.4661,65.4661,75.4661,True,0.0859535,0.05
24.7416,53.0636,48.0636,58.0636,True,0.0802138,0.05
64.8175,36.2086,31.2086,41.2086,True,0.0818467,0.05
49.2049,53.1924,48.1924,58.1924,False,0.00158999,0.05
66.3346,50.8172,45.8172,55.8172,False,0.024079,0.05
11.1079,60.0798,55.0798,65.0798,True,0.239825,0.05
39.9835,30.9393,25.9393,35.9393,False,0.00817976,0.05
62.6982,36.3139,31.3139,41.3139,True,0.069613,0.05
59.4726,51.9717,46.9717,56.9717,False,0.00562629,0.05
38.1542,56.4656,51.4656,61.4656,False,0.0335307,0.05
54.8542,45.5925,40.5925,50.5925,False,0.00857784,0.05
45.3732,51.0942,46.0942,56.0942,False,0.00327299,0.05
51.3424,47.6773,42.6773,52.6773,False,0.0013433,0.05
24.9976,49.8685,44.8685,54.8685,True,0.0618563,0.05
58.4108,35.0677,30.0677,40.0677,True,0.0544899,0.05
58.0703,48.9492,43.9492,53.9492,False,0.00831948,0.05
61.0292,54.3635,49.3635,59.3635,False,0.00444316,0.05
61.8676,58.3579,53.3579,63.3579,False,0.00123178,0.05
67.6445,60.4483,55.4483,65.4483,False,0.00517859,0.05
46.3284,64.7337,59.7337,69.7337,False,0.0338757,0.05
21.3284,53.7865,48.7865,58.7865,True,0.105353,0.05
56.9776,34.4763,29.4763,39.4763,True,0.0506308,0.05
55.2679,47.8345,42.8345,52.8345,False,0.00552556,0.05
22.5575,52.2447,47.2447,57.2447,True,0.0881331,0.05
11.4258,34.6169,29.6169,39.6169,True,0.0537826,0.05
2.88332,20.81,15.81,25.81,False,0.0321365,0.05
7.36974,10.1104,5.11043,15.1104,False,0.000751139,0.05
10.2232,8.46508,3.46508,13.4651,False,0.0003091,0.05
16.7445,9.50464,4.50464,14.5046,False,0.00524156,0.05
2.55305,13.8168,8.81677,18.8168,False,0.0126871,0.05
40.8026,7.1187,2.1187,12.1187,True,0.113461,0.05
47.6824,27.1598,22.1598,32.1598,False,0.0421178,0.05
37.5757,39.3687,34.3687,44.3687,False,0.000321489,0.05
15.9247,38.3364,33.3364,43.3364,True,0.0502283,0.05
1.9252,25.0102,20.0102,30.0102,True,0.0532918,0.05
41.9803,11.2611,6.26112,16.2611,True,0.0943668,0.05
51.6196,29.5141,24.5141,34.5141,False,0.0488653,0.05
17.432,42.6613,37.6613,47.6613,True,0.0636518,0.05
18.4267,27.6914,22.6914,32.6914,False,0.00858338,0.05
21.6187,22.1822,17.1822,27.1822,False,3.17513e-05,0.05
19.0845,21.8184,16.8184,26.8184,False,0.000747413,0.05
17.508,20.1923,15.1923,25.1923,False,0.000720555,0.05
11.5492,18.5969,13.5969,23.5969,False,0.00496703,0.05
13.5464,14.4012,9.4012,19.4012,False,7.30687e-05,0.05
8.82255,13.8894,8.88939,18.8894,False,0.00256729,0.05
7.78934,10.8698,5.86983,15.8698,False,0.000948944,0.05
39.3296,9.0367,4.0367,14.0367,True,0.091766,0.05
56.2766,27.0543,22.0543,32.0543,True,0.0853943,0.05
46.5527,44.4421,39.4421,49.4421,False,0.000445476,0.05
43.9912,45.7279,40.7279,50.7279,False,0.000301617,0.05
43.7302,44.7098,39.7098,49.7098,False,9.59632e-05,0.05
15.3681,44.1201,39.1201,49.1201,True,0.0826676,0.05
59.6457,27.0164,22.0164,32.0164,True,0.106467,0.05
29.5617,46.4174,41.4174,51.4175,False,0.0284116,0.05
59.594,36.3794,31.3794,41.3794,True,0.0538916,0.05
51.6958,50.2136,45.2136,55.2136,False,0.000219688,0.05
58.8559,51.0795,46.0795,56.0795,False,0.0060473,0.05
34.827,55.7271,50.7271,60.7271,False,0.0436813,0.05
65.0134,43.2935,38.2934,48.2935,False,0.0471756,0.05
23.9367,56.2115,51.2115,61.2116,True,0.104167,0.05
18.7613,37.0072,32.0072,42.0072,False,0.0332913,0.05
10.5564,26.1667,21.1667,31.1667,False,0.0243681,0.05
