observed,predicted,low,high,anomalous,err,threshold
12.3736,8.44319,,,,,
8.80215,8.41602,,,,,
13.463,8.4343,,,,,
45.1881,8.44457,,,,,
17.2033,8.45426,-1.54574,18.4543,False,0.00191365,0.05
31.3441,8.4702,-1.5298,18.4702,False,0.0130803,0.05
30.7311,8.43514,-1.56486,18.4351,False,0.0124277,0.05
6.24672,21.7237,11.7237,31.7237,False,0.00598846,0.05
21.1351,12.5297,2.52974,22.5297,False,0.00185131,0.05
14.6936,17.6458,7.6458,27.6458,False,0.000217886,0.05
38.1097,15.8714,5.87136,25.8714,False,0.0123636,0.05
18.5539,29.121,19.121,39.121,False,0.00279161,0.05
39.9506,22.833,12.833,32.833,False,0.00732531,0.05
36.9315,33.0395,23.0395,43.0395,False,0.000378688,0.05
49.6728,35.3463,25.3463,45.3463,False,0.0051312,0.05
66.8003,43.8965,33.8965,53.8965,False,0.0131146,0.05
56.0189,57.54,47.5399,67.54,False,5.78399e-05,0.05
71.2777,56.6528,46.6528,66.6528,False,0.00534717,0.05
67.285,65.3802,55.3802,75.3802,False,9.07097e-05,0.05
21.6345,66.5102,56.5102,76.5102,True,0.0503456,0.05
56.5023,39.7957,29.7957,49.7957,False,0.00697776,0.05
50.1216,49.7273,39.7273,59.7273,False,3.88698e-06,0.05
25.914,49.9279,39.9279,59.9279,False,0.0144167,0.05
18.5862,35.6588,25.6588,45.6588,False,0.00728684,0.05
27.9831,25.4805,15.4805,35.4805,False,0.00015657,0.05
17.3612,26.9441,16.9441,36.9441,False,0.00229579,0.05
49.3867,21.2344,11.2344,31.2344,False,0.0198138,0.05
8.01069,37.9993,27.9993,47.9993,False,0.0224829,0.05
39.9396,20.1479,10.1479,30.1479,False,0.00979283,0.05
44.8992,31.946,21.946,41.946,False,0.00419461,0.05
51.5034,39.6305,29.6305,49.6305,False,0.00352417,0.05
25.8519,46.7321,36.7321,56.7321,False,0.0108996,0.05
37.9814,34.3076,24.3076,44.3076,False,0.000337412,0.05
34.7268,36.4934,26.4934,46.4934,False,7.80196e-05,0.05
19.1564,35.4211,25.4211,45.4211,False,0.00661353,0.05
22.796,25.7477,15.7477,35.7477,False,0.000217814,0.05
-9.96559,23.9819,13.9819,33.9819,False,0.0288109,0.05
0.887101,3.76226,-6.23775,13.7623,False,0.000206664,0.05
-11.4043,2.04133,-7.95867,12.0413,False,0.00451962,0.05
-9.60748,-5.98713,-15.9871,4.01287,False,0.000327674,0.05
-12.1134,-8.13815,-18.1382,1.86185,False,0.000395066,0.05
-4.04181,-10.5146,-20.5146,-0.514585,False,0.00104742,0.05
-4.11807,-6.66268,-16.6627,3.33732,False,0.000161875,0.05
-22.7796,-5.14761,-15.1476,4.85239,False,0.00777218,0.05
-11.6878,-15.633,-25.633,-5.63301,False,0.000389119,0.05
1.42864,-13.2925,-23.2925,-3.2925,False,0.0054178,0.05
10.4016,-4.54461,-14.5446,5.45539,False,0.00558473,0.05
-0.434882,4.36479,-5.63521,14.3648,False,0.000575921,0.05
0.241696,1.52433,-8.47567,11.5243,False,4.11286e-05,0.05
3.23569,0.765932,-9.23407,10.7659,False,0.000152492,0.05
-9.2864,2.2267,-7.7733,12.2267,False,0.00331378,0.05
2.55008,-4.62344,-14.6234,5.37655,False,0.00128648,0.05
-18.2697,-0.356466,-10.3565,9.64353,False,0.0080221,0.05
-25.2981,-11.0235,-21.0235,-1.0235,False,0.0050941,0.05
-32.8968,-19.5161,-29.5161,-9.51613,False,0.00447606,0.05
2.24065,-27.5002,-37.5002,-17.5002,False,0.022113,0.05
1.83982,-9.81242,-19.8124,0.187576,False,0.00339437,0.05
-27.8233,-2.87153,-12.8715,7.12848,False,0.0155648,0.05
-41.8182,-17.6883,-27.6883,-7.68831,False,0.0145563,0.05
-15.7781,-32.0582,-42.0582,-22.0582,False,0.00662602,0.05
-18.2554,-22.4024,-32.4024,-12.4024,False,0.000429931,0.05
-21.1014,-19.9379,-29.9379,-9.93789,False,3.3844e-05,0.05
-17.4688,-20.6087,-30.6087,-10.6087,False,0.000246474,0.05
-15.0184,-18.7428,-28.7428,-8.74284,False,0.000346786,0.05
-11.2372,-16.5275,-26.5275,-6.52751,False,0.000699685,0.05
-13.3875,-13.3752,-23.3752,-3.37517,False,3.79473e-09,0.05
2.87694,-13.3786,-23.3786,-3.37858,False,0.00660604,0.05
5.07516,-3.70225,-13.7022,6.29776,False,0.00192607,0.05
-36.447,1.52589,-8.47411,11.5259,False,0.0360485,0.05
-37.7426,-21.0551,-31.0551,-11.0551,False,0.00696179,0.05
-36.0256,-30.9986,-40.9986,-20.9986,False,0.000631778,0.05
