observed,predicted,low,high,anomalous,err,threshold
28.2202,28.5461,,,,,
30.2452,28.5478,,,,,
29.8417,28.5391,,,,,
29.4233,28.5504,,,,,
37.8475,28.547,20.547,36.547,False,0.00337889,0.05
30.4041,28.5421,20.5421,36.5421,False,0.000135437,0.05
35.3657,28.5571,20.5571,36.5571,False,0.00181078,0.05
63.9726,32.606,24.606,40.606,False,0.0384322,0.05
25.2006,51.268,43.268,59.268,False,0.0265434,0.05
34.8923,35.7734,27.7734,43.7734,False,3.03253e-05,0.05
29.0041,35.2578,27.2578,43.2578,False,0.00152766,0.05
50.9153,31.5087,23.5087,39.5087,False,0.0147115,0.05
41.3532,43.0615,35.0615,51.0615,False,0.000113998,0.05
29.8674,42.0493,34.0493,50.0493,False,0.00579686,0.05
32.9529,34.8144,26.8144,42.8144,False,0.000135366,0.05
37.6102,33.6947,25.6947,41.6947,False,0.000598887,0.05
30.5733,36.0163,28.0163,44.0163,False,0.00115728,0.05
35.3999,32.7812,24.7812,40.7812,False,0.000267868,0.05
29.5189,34.3405,26.3405,42.3405,False,0.000908101,0.05
29.4981,31.4674,23.4674,39.4674,False,0.000151496,0.05
28.5252,30.2967,22.2967,38.2967,False,0.000122591,0.05
35.9462,29.2376,21.2376,37.2376,False,0.00175802,0.05
38.367,33.2294,25.2294,41.2294,False,0.00103107,0.05
34.6836,36.289,28.289,44.289,False,0.000100674,0.05
37.9618,35.3408,27.3408,43.3408,False,0.000268337,0.05
33.2204,36.9013,28.9013,44.9013,False,0.00052926,0.05
27.1001,34.7094,26.7094,42.7094,False,0.00226176,0.05
30.8507,30.1817,22.1817,38.1817,False,1.74825e-05,0.05
28.9252,30.5733,22.5733,38.5733,False,0.000106109,0.05
30.4303,29.5888,21.5888,37.5888,False,2.76603e-05,0.05
31.2782,30.0916,22.0916,38.0916,False,5.50021e-05,0.05
47.8958,30.7968,22.7968,38.7968,False,0.0114209,0.05
28.8783,40.9736,32.9736,48.9736,False,0.00571474,0.05
28.1302,33.784,25.784,41.784,False,0.00124863,0.05
30.8978,30.4254,22.4254,38.4254,False,8.71832e-06,0.05
28.7621,30.6909,22.6909,38.6909,False,0.000145329,0.05
30.1756,29.5431,21.5431,37.5431,False,1.56289e-05,0.05
28.4948,29.9206,21.9206,37.9206,False,7.94155e-05,0.05
31.2762,29.0709,21.0709,37.0709,False,0.000189972,0.05
28.9295,30.3837,22.3837,38.3837,False,8.2606e-05,0.05
30.8002,29.5181,21.5181,37.5181,False,6.42102e-05,0.05
30.1145,30.2824,22.2824,38.2824,False,1.10068e-06,0.05
26.7208,30.1814,22.1814,38.1814,False,0.000467802,0.05
30.8559,28.1231,20.1231,36.1231,False,0.000291724,0.05
27.1686,29.7475,21.7475,37.7475,False,0.000259793,0.05
28.1613,28.2117,20.2117,36.2117,False,9.9044e-08,0.05
30.948,28.1834,20.1834,36.1834,False,0.000298555,0.05
26.6171,29.8262,21.8262,37.8262,False,0.000402267,0.05
31.0507,27.9183,19.9183,35.9183,False,0.000383287,0.05
33.639,29.7829,21.7829,37.7829,False,0.000580826,0.05
28.2979,32.0761,24.0761,40.0761,False,0.000557623,0.05
32.0585,29.8324,21.8324,37.8324,False,0.000193581,0.05
29.4224,31.1572,23.1572,39.1572,False,0.000117561,0.05
26.0729,30.1221,22.1221,38.1221,False,0.000640469,0.05
29.054,27.7141,19.7141,35.7141,False,7.01297e-05,0.05
45.0376,28.508,20.508,36.508,False,0.010673,0.05
29.6259,38.3431,30.3431,46.3431,False,0.00296834,0.05
28.2531,33.1649,25.1649,41.1649,False,0.000942408,0.05
26.4052,30.2489,22.2489,38.2489,False,0.000577099,0.05
27.6361,27.9485,19.9485,35.9485,False,3.81219e-06,0.05
26.8371,27.7602,19.7602,35.7602,False,3.32874e-05,0.05
24.6661,27.2096,19.2096,35.2096,False,0.00025271,0.05
28.7587,25.6963,17.6963,33.6963,False,0.000366329,0.05
22.4523,27.5173,19.5173,35.5173,False,0.00100211,0.05
25.6077,24.5027,16.5027,32.5027,False,4.76929e-05,0.05
24.326,25.1609,17.1609,33.1609,False,2.72316e-05,0.05
32.8561,24.6602,16.6602,32.6602,False,0.00262392,0.05
29.6587,29.5398,21.5398,37.5398,False,5.5214e-07,0.05
27.2899,29.6133,21.6133,37.6133,False,0.00021086,0.05
28.2415,28.2363,20.2363,36.2363,False,1.05815e-09,0.05
27.7652,28.236,20.236,36.236,False,8.65999e-06,0.05
30.002,27.9543,19.9543,35.9543,False,0.0001638,0.05
29.015,29.1734,21.1734,37.1734,False,9.80402e-07,0.05
45.3674,29.0797,21.0797,37.0797,False,0.0103628,0.05
32.5268,38.7738,30.7738,46.7738,False,0.00152439,0.05
43.5165,35.0627,27.0627,43.0627,False,0.00279167,0.05
38.2578,40.1016,32.1016,48.1016,False,0.000132794,0.05
33.063,38.999,30.999,46.999,False,0.00137641,0.05
36.7958,35.4734,27.4734,43.4734,False,6.83066e-05,0.05
31.6104,36.2541,28.2541,44.2541,False,0.000842348,0.05
28.9765,33.4878,25.4878,41.4878,False,0.000795006,0.05
31.7431,30.8038,22.8038,38.8038,False,3.4466e-05,0.05
30.6507,31.3573,23.3573,39.3573,False,1.95054e-05,0.05
28.0957,30.9356,22.9356,38.9356,False,0.000315036,0.05
28.7703,29.2471,21.2471,37.2471,False,8.88223e-06,0.05
26.9922,28.9614,20.9614,36.9614,False,0.000151473,0.05
26.5917,27.7876,19.7876,35.7876,False,5.58645e-05,0.05
30.9151,27.0755,19.0755,35.0755,False,0.000575874,0.05
28.5756,29.3589,21.3589,37.3589,False,2.39675e-05,0.05
27.1259,28.8942,20.8942,36.8942,False,0.000122145,0.05
26.5232,27.8444,19.8444,35.8444,False,6.8185e-05,0.05
27.932,27.0557,19.0557,35.0557,False,2.99977e-05,0.05
27.8732,27.5757,19.5757,35.5757,False,3.45752e-06,0.05
26.7807,27.7528,19.7528,35.7528,False,3.69119e-05,0.05
33.6815,27.1754,19.1754,35.1754,False,0.00165351,0.05
30.9703,31.0468,23.0468,39.0468,False,2.28883e-07,0.05
30.221,31.0034,23.0034,39.0034,False,2.3911e-05,0.05
44.6209,30.5423,22.5423,38.5423,False,0.00774241,0.05
33.3979,38.9179,30.9179,46.9179,False,0.00119027,0.05
32.5331,35.6387,27.6387,43.6387,False,0.000376754,0.05
26.6091,33.798,25.798,41.798,False,0.00201874,0.05
26.3914,29.5106,21.5106,37.5106,False,0.000380065,0.05
32.1249,27.6507,19.6507,35.6507,False,0.000781955,0.05
27.763,30.3082,22.3082,38.3082,False,0.000253056,0.05
31.2995,28.7955,20.7955,36.7955,False,0.000244925,0.05
30.7542,30.2885,22.2885,38.2885,False,8.47315e-06,0.05
23.8328,30.5637,22.5637,38.5637,False,0.00176972,0.05
27.4338,26.5606,18.5606,34.5606,False,2.97876e-05,0.05
26.3278,27.0769,19.0769,35.0769,False,2.19201e-05,0.05
29.4318,26.6269,18.6269,34.6269,False,0.000307326,0.05
27.0068,28.2984,20.2984,36.2984,False,6.51683e-05,0.05
32.6958,27.5302,19.5302,35.5302,False,0.00104232,0.05
27.1501,30.6059,22.6059,38.6059,False,0.000466501,0.05
27.9079,28.5499,20.5499,36.5499,False,1.60981e-05,0.05
28.6629,28.1701,20.1701,36.1701,False,9.48601e-06,0.05
29.874,28.4593,20.4593,36.4593,False,7.81784e-05,0.05
27.5202,29.302,21.302,37.302,False,0.00012402,0.05
30.4484,28.2428,20.2428,36.2428,False,0.000190034,0.05
31.3264,29.5554,21.5554,37.5554,False,0.000122517,0.05
29.5447,30.6087,22.6087,38.6087,False,4.42229e-05,0.05
34.7104,29.9783,21.9783,37.9783,False,0.000874732,0.05
26.5051,32.7944,24.7944,40.7944,False,0.00154515,0.05
27.4659,29.0524,21.0524,37.0524,False,9.83237e-05,0.05
26.2888,28.109,20.109,36.109,False,0.000129415,0.05
28.3937,27.0195,19.0195,35.0195,False,7.37709e-05,0.05
24.1621,27.8373,19.8373,35.8373,False,0.000527633,0.05
36.194,25.6499,17.6499,33.6499,False,0.00434288,0.05
29.3033,31.9248,23.9248,39.9248,False,0.000268444,0.05
28.8633,30.3665,22.3665,38.3665,False,8.82666e-05,0.05
25.2844,29.4789,21.4789,37.4789,False,0.000687244,0.05
24.995,26.9771,18.9771,34.9771,False,0.000153466,0.05
25.9103,25.7954,17.7954,33.7954,False,5.15756e-07,0.05
27.6673,25.8606,17.8606,33.8606,False,0.00012751,0.05
