observed,predicted,low,high,anomalous,err,threshold
1.04486,-1.55634,,,,,
-0.192958,-1.55748,,,,,
1.17042,-1.55381,,,,,
1.48709,-1.55507,,,,,
2.42752,-1.5594,-2.5594,-0.559398,False,0.0397387,0.05
0.628561,-1.55812,-2.55812,-0.558121,False,0.0119539,0.05
3.28428,-1.55495,-2.62901,-0.480902,True,0.0585455,0.0537026
1.41048,1.32671,0.250931,2.40248,False,1.75458e-05,0.0537887
-0.337387,1.37675,0.314257,2.43924,False,0.00734564,0.0531245
2.52658,0.358789,-0.691211,1.40879,False,0.0117483,0.0525
0.876118,1.64677,0.606848,2.68669,False,0.00148475,0.0519959
-2.40773,1.18748,0.160714,2.21424,False,0.0323138,0.0513382
2.4043,-0.949917,-1.97189,0.0720596,False,0.0281269,0.0510988
0.470043,1.04352,0.0266063,2.06043,False,0.000822185,0.0508456
1.50473,0.700827,-0.303216,1.70487,False,0.00161565,0.0502021
1.06831,1.183,0.182999,2.183,False,3.28845e-05,0.05
1.32758,1.11341,0.11341,2.11341,False,0.000114671,0.05
3.33555,1.24169,0.241687,2.24169,False,0.0109606,0.05
0.53683,2.48758,1.48758,3.48758,False,0.00951357,0.05
-0.954339,1.32757,0.327574,2.32757,False,0.0130178,0.05
0.670437,-0.029431,-1.02943,0.970569,False,0.00122454,0.05
1.78918,0.383899,-0.616101,1.3839,False,0.00493704,0.05
2.2951,1.21921,0.219214,2.21921,False,0.00289383,0.05
1.61605,1.86138,0.861382,2.86138,False,0.00015047,0.05
-1.48363,1.7167,0.716696,2.7167,False,0.0256052,0.05
1.7069,-0.1875,-1.1875,0.812501,False,0.00897187,0.05
-1.59684,0.93815,-0.0618505,1.93815,False,0.0160654,0.05
0.513141,-0.57216,-1.57216,0.42784,False,0.0029447,0.05
2.78578,0.0753105,-0.92469,1.07531,False,0.0183666,0.05
-0.483727,1.68597,0.685966,2.68597,False,0.0117689,0.05
1.64179,0.397608,-0.602392,1.39761,False,0.00386998,0.05
-0.866313,1.13912,0.139122,2.13912,False,0.0100544,0.05
-0.41588,-0.0565314,-1.05653,0.943469,False,0.000322829,0.05
0.774907,-0.269361,-1.26936,0.730639,False,0.00272624,0.05
0.135313,0.349835,-0.650165,1.34984,False,0.000115049,0.05
1.05094,0.222971,-0.777029,1.22297,False,0.00171383,0.05
-1.60924,0.716565,-0.283436,1.71656,False,0.0135234,0.05
0.21182,-0.66762,-1.66762,0.332379,False,0.00193354,0.05
0.905341,-0.144449,-1.14445,0.855551,False,0.00275515,0.05
-0.688538,0.478396,-0.521604,1.4784,False,0.00340434,0.05
-0.933237,-0.214067,-1.21407,0.785933,False,0.00129301,0.05
0.172532,-0.641884,-1.64188,0.358117,False,0.00165818,0.05
3.3716,-0.158861,-1.15886,0.841138,False,0.0311604,0.05
0.610236,1.94216,0.942155,2.94216,False,0.00443502,0.05
0.149122,1.15179,0.151789,2.15179,False,0.00251335,0.05
4.00733,0.557317,-0.442684,1.55732,False,0.0297565,0.05
0.685061,2.60779,1.60779,3.60779,False,0.00924226,0.05
-0.164913,1.46442,0.464419,2.46442,False,0.00663681,0.05
0.370906,0.497465,-0.502535,1.49747,False,4.00434e-05,0.05
2.4042,0.418719,-0.581281,1.41872,False,0.00985533,0.05
3.54816,1.59947,0.599471,2.59947,False,0.00949347,0.05
0.6438,2.76039,1.76039,3.76039,False,0.0111999,0.05
0.645716,1.5032,0.5032,2.5032,False,0.0018382,0.05
0.606481,0.993176,-0.00682473,1.99318,False,0.000373832,0.05
-0.0915807,0.760251,-0.239749,1.76025,False,0.00181404,0.05
4.6527,0.253235,-0.746765,1.25324,False,0.0483882,0.05
0.537741,2.87106,1.87106,3.87106,False,0.0136109,0.05
0.253093,1.48348,0.483477,2.48348,False,0.00378461,0.05
0.448903,0.754585,-0.245415,1.75459,False,0.000233604,0.05
1.45363,0.568686,-0.431315,1.56869,False,0.00195782,0.05
-0.842767,1.09493,0.0949311,2.09493,False,0.00938668,0.05
-0.152983,-0.0575715,-1.05757,0.942428,False,2.27581e-05,0.05
1.47928,-0.114195,-1.1142,0.885805,False,0.00634791,0.05
-0.445836,0.831993,-0.168008,1.83199,False,0.00408212,0.05
-0.442133,0.0728452,-0.927155,1.07285,False,0.000663006,0.05
0.361042,-0.232656,-1.23266,0.767344,False,0.000881193,0.05
-0.0955902,0.118768,-0.881232,1.11877,False,0.000114874,0.05
-0.156781,-0.00854194,-1.00854,0.991458,False,5.49371e-05,0.05
0.169765,-0.0961417,-1.09614,0.903858,False,0.000176767,0.05
0.311429,0.0616336,-0.938367,1.06163,False,0.000155995,0.05
2.55685,0.210314,-0.789686,1.21031,False,0.0137656,0.05
-0.433012,1.607,0.606999,2.607,False,0.0104041,0.05
1.12424,0.394086,-0.605915,1.39409,False,0.00133281,0.05
5.68804,0.829757,-0.170243,1.82976,True,0.0590073,0.05
0.330101,3.71872,2.71872,4.71872,False,0.0287069,0.05
-1.07171,1.7052,0.705196,2.7052,False,0.019278,0.05
-0.893432,0.0557482,-0.944252,1.05575,False,0.00225236,0.05
-3.83708,-0.514737,-1.51474,0.485263,False,0.0275949,0.05
1.78827,-2.49299,-3.49299,-1.49298,False,0.0458229,0.05
-5.12341,0.0532055,-0.946795,1.05321,True,0.0669934,0.05
0.296787,-3.0273,-4.0273,-2.0273,False,0.0276239,0.05
2.41934,-1.04712,-2.04712,-0.0471175,False,0.0300408,0.05
0.0954872,1.01079,0.0107861,2.01079,False,0.00209443,0.05
0.407984,0.472238,-0.527762,1.47224,False,1.03214e-05,0.05
-0.517433,0.435514,-0.564486,1.43551,False,0.00227027,0.05
1.04817,-0.133522,-1.13352,0.866479,False,0.00349099,0.05
0.418945,0.569471,-0.430529,1.56947,False,5.66449e-05,0.05
-1.59162,0.479556,-0.520444,1.47956,False,0.0107244,0.05
-1.31679,-0.751407,-1.75141,0.248593,False,0.000799143,0.05
0.97308,-1.08912,-2.08912,-0.0891203,False,0.0106317,0.05
-0.400109,0.135856,-0.864145,1.13586,False,0.000718146,0.05
0.600981,-0.181969,-1.18197,0.818031,False,0.00153252,0.05
1.0886,0.285633,-0.714368,1.28563,False,0.00161189,0.05
-0.998193,0.762483,-0.237517,1.76248,False,0.00774995,0.05
-1.68179,-0.28388,-1.28388,0.71612,False,0.00488539,0.05
-0.354296,-1.11582,-2.11582,-0.115815,False,0.00144978,0.05
0.825392,-0.665085,-1.66508,0.334915,False,0.0055538,0.05
4.78484,0.221388,-0.778612,1.22139,True,0.0520627,0.05
0.730089,2.93849,1.93849,3.93849,False,0.0121926,0.05
0.936176,1.6271,0.627104,2.6271,False,0.00119345,0.05
0.26699,1.21874,0.218738,2.21874,False,0.00226457,0.05
0.397094,0.648614,-0.351386,1.64861,False,0.000158157,0.05
-1.86264,0.498796,-0.501205,1.4988,False,0.0139409,0.05
0.394118,-0.906814,-1.90681,0.0931859,False,0.00423106,0.05
0.683469,-0.133603,-1.1336,0.866398,False,0.00166901,0.05
0.236232,0.351082,-0.648918,1.35108,False,3.29762e-05,0.05
0.492497,0.285004,-0.714996,1.285,False,0.000107634,0.05
-0.46029,0.408661,-0.591339,1.40866,False,0.00188769,0.05
-0.900612,-0.108638,-1.10864,0.891361,False,0.00156805,0.05
2.15045,-0.579922,-1.57992,0.420078,False,0.0186373,0.05
-0.0121271,1.04343,0.0434303,2.04343,False,0.00278551,0.05
3.66262,0.416071,-0.583929,1.41607,False,0.0263502,0.05
-1.13652,2.35006,1.35006,3.35006,False,0.0303906,0.05
1.04214,0.274956,-0.725044,1.27496,False,0.00147143,0.05
0.917899,0.733228,-0.266773,1.73323,False,8.52593e-05,0.05
-0.548398,0.839273,-0.160728,1.83927,False,0.00481407,0.05
0.242433,0.0156224,-0.984378,1.01562,False,0.000128607,0.05
0.793793,0.149918,-0.850083,1.14992,False,0.00103644,0.05
0.148499,0.531827,-0.468173,1.53183,False,0.000367351,0.05
1.51878,0.304699,-0.695301,1.3047,False,0.00368498,0.05
1.62527,1.02735,0.0273538,2.02735,False,0.000893758,0.05
0.172389,1.38301,0.383015,2.38302,False,0.00366404,0.05
-3.42758,0.664142,-0.335858,1.66414,False,0.0418555,0.05
3.06308,-1.77052,-2.77052,-0.770518,True,0.0584092,0.05
2.35409,1.10235,0.100708,2.10399,False,0.00391714,0.0500821
