observed,predicted,low,high,anomalous,err,threshold
-22.0111,-11.0019,,,,,
-21.4969,-11.0073,,,,,
-22.9718,-11.0116,,,,,
-14.6605,-11.009,,,,,
-1.50769,-11.002,-12.002,-10.002,False,0.225354,0.05
-7.44086,-11.0046,-12.0046,-10.0046,False,0.03175,0.05
-9.17541,-11.0026,-12.0026,-10.0026,False,0.00834685,0.05
-38.3787,-9.90819,-10.9082,-8.90819,True,2.02642,0.05
-4.92203,-9.91147,-10.9115,-8.91147,True,0.0622362,0.05
-3.03541,-6.94274,-7.94274,-5.94274,False,0.0381681,0.05
-4.04095,-4.61515,-5.61515,-3.61515,False,0.000824261,0.05
-3.23561,-4.26847,-5.26847,-3.26846,False,0.00266697,0.05
-3.19584,-3.6516,-4.6516,-2.6516,False,0.000519295,0.05
-4.34239,-3.38052,-4.38052,-2.38052,False,0.002313,0.05
-3.1632,-3.95279,-4.95279,-2.95279,False,0.00155864,0.05
-3.47871,-3.48262,-4.48262,-2.48262,False,3.81982e-08,0.05
-8.6374,-3.48094,-4.48094,-2.48093,True,0.0664728,0.05
-3.41922,-6.55094,-7.55094,-5.55094,False,0.0245192,0.05
-3.35494,-4.6876,-5.6876,-3.6876,False,0.00443997,0.05
-9.96515,-3.89679,-4.89679,-2.89679,True,0.0920625,0.05
-3.40361,-7.50581,-8.50581,-6.50581,False,0.0420702,0.05
-2.57216,-5.06482,-6.06482,-4.06482,False,0.0155333,0.05
-3.01837,-3.58424,-4.58424,-2.58424,False,0.000800535,0.05
-11.3243,-3.24135,-4.24135,-2.24135,True,0.163335,0.05
-9.22168,-8.05336,-9.05336,-7.05336,False,0.00341245,0.05
-3.17478,-8.7511,-9.7511,-7.7511,True,0.0777383,0.05
-3.13606,-5.4381,-6.4381,-4.4381,False,0.0132485,0.05
-14.0325,-4.06437,-5.06437,-3.06437,True,0.248409,0.05
-8.0742,-9.99251,-10.9925,-8.99251,False,0.00919976,0.05
-3.11025,-8.85272,-9.85272,-7.85272,True,0.08244,0.05
-3.93669,-5.4433,-6.4433,-4.4433,False,0.00567471,0.05
-5.69418,-4.54017,-5.54017,-3.54017,False,0.00332936,0.05
-5.61007,-5.22255,-6.22255,-4.22255,False,0.000375429,0.05
-5.65281,-5.45401,-6.45401,-4.45401,False,9.8803e-05,0.05
-3.41331,-5.57396,-6.57396,-4.57396,False,0.011671,0.05
-7.96815,-4.28738,-5.28738,-3.28738,False,0.0338702,0.05
-3.72904,-6.47852,-7.47852,-5.47852,False,0.0188991,0.05
-3.56324,-4.84016,-5.84016,-3.84016,False,0.0040763,0.05
-3.69615,-4.08334,-5.08335,-3.08334,False,0.000374801,0.05
