observed,predicted,low,high,anomalous,err,threshold
360.378,322.201,321.691,322.711,False,0.050431,0.003
358.305,322.202,321.692,322.712,False,0.0451013,0.003
359.568,322.204,310.552,333.857,False,0.0483068,0.0685421
314.402,344.513,332.904,356.123,False,0.0313734,0.0682926
313.851,326.566,315.033,338.098,False,0.00559388,0.0678389
313.087,318.977,307.581,330.372,False,0.00120026,0.0670345
312.246,315.415,304.164,326.666,False,0.000347509,0.0661805
311.362,313.524,302.416,324.633,False,0.000161777,0.0653428
310.586,312.234,301.266,323.202,False,9.39779e-05,0.064516
309.697,311.25,300.422,322.079,False,8.34963e-05,0.0636993
308.885,310.323,299.632,321.015,False,7.15915e-05,0.0628929
308.08,309.465,298.909,320.021,False,6.63736e-05,0.0620966
307.402,308.638,298.216,319.061,False,5.28916e-05,0.0613103
307.001,307.9,297.61,318.191,False,2.79901e-05,0.0605338
307.109,307.363,297.203,317.524,False,2.23807e-06,0.0597669
307.382,307.211,297.179,317.242,False,1.01433e-06,0.0590093
307.98,307.312,297.408,317.217,False,1.54264e-05,0.0582613
308.878,307.71,297.931,317.489,False,4.71785e-05,0.057523
309.626,308.407,298.752,318.062,False,5.14545e-05,0.0567944
310.488,309.134,299.601,318.667,False,6.34208e-05,0.0560752
311.411,309.942,300.53,319.354,False,7.46505e-05,0.0553652
312.306,310.819,301.526,320.112,False,7.65524e-05,0.0546643
313.268,311.706,302.531,320.882,False,8.43919e-05,0.0539724
314.121,312.638,303.579,321.698,False,7.60641e-05,0.0532894
314.855,313.523,304.579,322.468,False,6.13625e-05,0.0526149
315.351,314.318,305.487,323.15,False,3.68958e-05,0.0519487
315.607,314.935,306.216,323.654,False,1.56232e-05,0.0512907
315.277,315.337,306.728,323.945,False,1.22624e-07,0.0506407
314.679,315.302,306.802,323.802,False,1.34259e-05,0.0499987
314.057,314.931,306.539,323.323,False,2.64227e-05,0.0493651
313.033,314.41,306.124,322.695,False,6.55661e-05,0.0487397
311.952,313.588,305.407,321.769,False,9.26444e-05,0.0481227
310.911,312.612,304.535,320.69,False,0.000100135,0.0475139
309.861,311.597,303.622,319.572,False,0.000104259,0.0469129
308.78,310.561,302.686,318.435,False,0.000109726,0.0463196
307.839,309.498,301.723,317.273,False,9.52371e-05,0.0457338
307.014,308.508,300.831,316.184,False,7.72151e-05,0.0451553
306.203,307.616,300.037,315.195,False,6.90951e-05,0.0445839
305.79,306.773,299.289,314.256,False,3.34165e-05,0.0440197
305.828,306.186,298.797,313.574,False,4.43202e-06,0.0434621
306.176,305.972,298.677,313.266,False,1.44549e-06,0.0429111
306.809,306.093,298.89,313.295,False,1.77482e-05,0.0423672
307.553,306.52,299.408,313.631,False,3.69523e-05,0.0418303
308.467,307.136,300.115,314.157,False,6.13111e-05,0.0413006
309.619,307.93,300.998,314.862,False,9.87082e-05,0.0407778
310.799,308.938,302.093,315.782,False,0.000119891,0.0402621
311.829,310.048,303.29,316.806,False,0.000109729,0.0397533
312.856,311.111,304.439,317.784,False,0.000105338,0.0392508
313.964,312.153,305.564,318.741,False,0.000113525,0.0387546
315.001,313.234,306.729,319.739,False,0.000108088,0.0382648
315.654,314.288,307.866,320.711,False,6.45182e-05,0.0377811
315.878,315.104,308.762,321.445,False,2.07305e-05,0.037303
315.713,315.567,309.306,321.828,False,7.40174e-07,0.0368304
315.284,315.655,309.473,321.837,False,4.75959e-06,0.0363635
314.618,315.434,309.331,321.538,False,2.30442e-05,0.0359026
313.737,314.947,308.921,320.974,False,5.06997e-05,0.0354477
312.646,314.225,308.276,320.175,False,8.63192e-05,0.034999
311.397,313.283,307.409,319.158,False,0.000123097,0.0345565
310.365,312.158,306.357,317.958,False,0.000111211,0.03412
309.211,311.088,305.361,316.815,False,0.000121874,0.0336889
308.094,309.967,304.313,315.622,False,0.000121454,0.0332634
307.267,308.85,303.266,314.433,False,8.66563e-05,0.0328433
306.505,307.905,302.392,313.418,False,6.77972e-05,0.0324281
306.255,307.069,301.626,312.512,False,2.29328e-05,0.0320178
306.65,306.583,301.209,311.957,False,1.56449e-07,0.0316123
307.134,306.622,301.316,311.928,False,9.08041e-06,0.0312115
307.814,306.927,301.688,312.166,False,2.72347e-05,0.0308159
308.704,307.456,302.284,312.628,False,5.38986e-05,0.0304256
309.668,308.2,303.093,313.307,False,7.45341e-05,0.0300406
310.825,309.076,304.034,314.118,False,0.000105858,0.0296608
311.93,310.12,305.141,315.098,False,0.000113417,0.0292861
312.984,311.2,306.284,316.116,False,0.000110145,0.0289163
314.13,312.265,307.411,317.118,False,0.000120383,0.0285512
315.264,313.378,308.586,318.17,False,0.000123079,0.0281908
316.108,314.504,309.772,319.236,False,8.90619e-05,0.027835
316.671,315.462,310.789,320.134,False,5.06174e-05,0.0274833
316.701,316.184,311.571,320.797,False,9.24894e-06,0.0271355
316.196,316.493,311.939,321.048,False,3.05997e-06,0.0267916
315.443,316.317,311.82,320.814,False,2.64264e-05,0.026452
314.485,315.796,311.356,320.236,False,5.94732e-05,0.026117
313.318,315.014,310.63,319.398,False,9.952e-05,0.0257867
312.043,314.002,309.674,318.33,False,0.000132799,0.0254611
310.594,312.833,308.559,317.107,False,0.000173471,0.02514
309.278,311.497,307.277,315.717,False,0.000170359,0.0248235
308.11,310.173,306.006,314.34,False,0.000147226,0.0245111
306.948,308.941,304.827,313.056,False,0.000137493,0.0242022
305.855,307.752,303.689,311.814,False,0.000124467,0.0238972
305.151,306.62,302.608,310.631,False,7.46392e-05,0.0235958
305.01,305.743,301.782,309.703,False,1.85834e-05,0.0232977
305.276,305.305,301.394,309.215,False,2.83328e-08,0.0230025
305.852,305.287,301.426,309.148,False,1.10587e-05,0.0227109
306.749,305.623,301.811,309.435,False,4.38472e-05,0.0224231
307.686,306.295,302.531,310.058,False,6.69986e-05,0.0221394
308.855,307.125,303.408,310.841,False,0.000103619,0.0218596
310.229,308.157,304.488,311.826,False,0.000148555,0.0215838
311.317,309.393,305.77,313.016,False,0.000128071,0.0213121
312.371,310.541,306.964,314.119,False,0.000115836,0.0210436
313.676,311.634,308.101,315.166,False,0.000144333,0.0207783
314.753,312.852,309.365,316.34,False,0.000124991,0.0205167
315.638,313.987,310.543,317.431,False,9.43446e-05,0.0202583
316.514,314.973,311.572,318.373,False,8.22018e-05,0.0200027
316.527,315.893,312.535,319.25,False,1.39124e-05,0.0197502
316.036,316.272,312.957,319.587,False,1.93138e-06,0.0194999
315.58,316.133,312.86,319.406,False,1.0566e-05,0.0192527
314.637,315.803,312.572,319.035,False,4.70582e-05,0.0190088
313.544,315.107,311.917,318.298,False,8.45847e-05,0.0187684
312.377,314.175,311.025,317.325,False,0.000111849,0.0185316
310.97,313.102,309.991,316.213,False,0.000157284,0.0182981
309.657,311.83,308.758,314.901,False,0.000163365,0.0180682
308.474,310.533,307.5,313.566,False,0.000146727,0.0178413
307.363,309.304,306.309,312.299,False,0.000130362,0.017617
306.312,308.145,305.188,311.103,False,0.000116317,0.0173953
305.683,307.051,304.131,309.971,False,6.47732e-05,0.0171763
305.763,306.234,303.351,309.117,False,7.68516e-06,0.0169594
306.328,305.952,303.105,308.799,False,4.89236e-06,0.0167445
307.018,306.175,303.365,308.986,False,2.45774e-05,0.0165322
308.025,306.678,303.903,309.452,False,6.28222e-05,0.016323
309.073,307.481,304.741,310.221,False,8.76601e-05,0.0161169
310.34,308.431,305.725,311.136,False,0.000126125,0.0159137
311.776,309.57,306.899,312.241,False,0.000168398,0.0157136
312.945,310.886,308.248,313.524,False,0.000146677,0.0155166
314.026,312.115,309.51,314.72,False,0.000126358,0.0153218
315.315,313.256,310.684,315.828,False,0.0001467,0.0151292
316.356,314.485,311.945,317.024,False,0.000121156,0.0149393
317.048,315.602,313.094,318.109,False,7.23774e-05,0.0147515
317.416,316.466,313.99,318.942,False,3.1253e-05,0.0145654
316.986,317.034,314.589,319.478,False,7.82792e-08,0.0143812
316.26,317.006,314.592,319.42,False,1.92669e-05,0.0141988
315.58,316.562,314.179,318.945,False,3.33586e-05,0.0140191
314.529,315.976,313.623,318.329,False,7.24454e-05,0.0138418
313.196,315.113,312.789,317.436,False,0.000127104,0.0136672
311.608,313.969,311.675,316.263,False,0.000192921,0.0134956
310.106,312.56,310.295,314.826,False,0.000208455,0.013327
308.843,311.096,308.858,313.333,False,0.000175599,0.0131608
307.545,309.751,307.542,311.96,False,0.000168383,0.0129963
306.164,308.434,306.253,310.616,False,0.000178341,0.0128336
305.14,307.08,304.925,309.234,False,0.000130173,0.0126732
304.552,305.922,303.794,308.049,False,6.49325e-05,0.0125143
304.563,305.104,303.003,307.204,False,1.01164e-05,0.0123565
305.166,304.78,302.706,306.854,False,5.15337e-06,0.0121999
305.884,305.009,302.961,307.057,False,2.64828e-05,0.0120453
306.855,305.531,303.509,307.552,False,6.06911e-05,0.011893
308.086,306.321,304.324,308.317,False,0.000107844,0.011743
309.382,307.374,305.402,309.345,False,0.000139572,0.0115955
310.747,308.572,306.625,310.518,False,0.000163719,0.0114504
311.979,309.87,307.948,311.792,False,0.00015394,0.0113074
313.334,311.129,309.23,313.027,False,0.000168288,0.011166
314.523,312.445,310.57,314.319,False,0.000149428,0.0110266
315.523,313.685,311.834,315.536,False,0.000116863,0.0108887
316.522,314.783,312.955,316.61,False,0.000104701,0.0107522
316.942,315.821,314.016,317.626,False,4.34832e-05,0.0106173
316.735,316.491,314.708,318.273,False,2.06585e-06,0.0104832
316.306,316.638,314.878,318.397,False,3.80632e-06,0.0103503
315.723,316.44,314.703,318.178,False,1.7814e-05,0.0102192
314.78,316.013,314.297,317.728,False,5.25678e-05,0.0100899
313.361,315.277,313.584,316.971,False,0.00012707,0.00996264
312.045,314.134,312.462,315.807,False,0.000151046,0.00983802
310.633,312.888,311.236,314.539,False,0.000175894,0.00971526
309.308,311.542,309.911,313.173,False,0.000172681,0.00959438
308.023,310.209,308.598,311.819,False,0.0001653,0.00947501
306.727,308.904,307.313,310.495,False,0.00016402,0.00935704
305.854,307.605,306.034,309.176,False,0.000106074,0.00924058
305.544,306.56,305.008,308.111,False,3.56908e-05,0.00912483
305.927,305.953,304.421,307.484,False,2.27226e-08,0.00900958
306.631,305.936,304.424,307.448,False,1.67087e-05,0.0088953
307.611,306.35,304.857,307.843,False,5.50361e-05,0.00878273
308.731,307.102,305.628,308.576,False,9.18292e-05,0.00867211
309.971,308.074,306.618,309.53,False,0.000124553,0.00856338
311.473,309.206,307.768,310.643,False,0.000177859,0.00845644
312.72,310.558,309.139,311.978,False,0.000161668,0.00835157
313.965,311.848,310.446,313.251,False,0.000155005,0.00824784
315.213,313.112,311.727,314.497,False,0.00015274,0.00814526
316.203,314.366,312.999,315.734,False,0.000116762,0.00804397
317.14,315.463,314.112,316.813,False,9.73485e-05,0.00794349
317.875,316.464,315.131,317.798,False,6.88713e-05,0.00784403
317.785,317.307,315.99,318.623,False,7.92192e-06,0.00774551
316.967,317.593,316.293,318.893,False,1.35673e-05,0.0076474
316.272,317.221,315.937,318.504,False,3.11531e-05,0.00755062
315.444,316.655,315.388,317.922,False,5.07421e-05,0.00745533
314.135,315.932,314.681,317.184,False,0.000111762,0.00736147
312.668,314.86,313.624,316.096,False,0.000166261,0.00726962
310.854,313.552,312.332,314.773,False,0.000251932,0.0071796
309.348,311.942,310.737,313.148,False,0.000232891,0.00709187
308.293,310.394,309.203,311.585,False,0.000152744,0.00700504
306.871,309.139,307.963,310.315,False,0.000178038,0.00691815
305.434,307.786,306.624,308.947,False,0.00019135,0.00683267
304.688,306.383,305.235,307.53,False,9.93737e-05,0.00674856
304.564,305.371,304.238,306.504,False,2.25185e-05,0.00666434
304.896,304.888,303.769,306.007,False,2.16147e-09,0.00658011
305.479,304.892,303.787,305.996,False,1.19287e-05,0.00649667
306.382,305.242,304.151,306.332,False,4.50048e-05,0.00641446
307.591,305.922,304.845,306.998,False,9.64356e-05,0.00633372
308.959,306.917,305.854,307.981,False,0.000144251,0.0062547
310.201,308.135,307.085,309.185,False,0.000147656,0.0061773
311.356,309.368,308.331,310.405,False,0.000136749,0.00610094
312.63,310.555,309.53,311.579,False,0.000149038,0.00602534
313.884,311.793,310.782,312.805,False,0.000151257,0.00595086
314.863,313.041,312.042,314.04,False,0.000114868,0.00587737
315.836,314.129,313.142,315.116,False,0.000100853,0.00580435
316.676,315.148,314.174,316.122,False,8.07835e-05,0.00573205
316.693,316.06,315.098,317.022,False,1.3856e-05,0.00566048
316.284,316.439,315.489,317.389,False,8.29482e-07,0.00558892
315.796,316.348,315.409,317.286,False,1.05269e-05,0.00551807
315.071,316.019,315.093,316.945,False,3.10873e-05,0.00544826
313.614,315.453,314.539,316.368,False,0.000117061,0.00537956
312.174,314.356,313.453,315.26,False,0.000164805,0.00531289
310.763,313.054,312.162,313.947,False,0.000181691,0.00524774
309.415,311.687,310.806,312.568,False,0.000178578,0.00518359
308.072,310.331,309.46,311.201,False,0.000176562,0.00512018
306.705,308.983,308.123,309.842,False,0.000179508,0.00505753
305.593,307.623,306.774,308.473,False,0.000142655,0.00499574
305.389,306.411,305.573,307.25,False,3.61752e-05,0.00493431
305.502,305.8,304.972,306.629,False,3.07772e-06,0.00487221
305.991,305.621,304.803,306.439,False,4.73362e-06,0.00481043
307.016,305.841,305.034,306.649,False,4.77567e-05,0.00474946
308.077,306.541,305.744,307.339,False,8.15923e-05,0.00468988
309.291,307.457,306.67,308.245,False,0.000116351,0.0046315
310.733,308.551,307.774,309.329,False,0.00016468,0.00457429
312.219,309.853,309.085,310.621,False,0.000193704,0.00451845
313.341,311.265,310.506,312.024,False,0.000149164,0.00446372
314.634,312.504,311.755,313.254,False,0.000156951,0.00440906
315.402,313.776,313.035,314.516,False,9.15393e-05,0.0043552
316.512,314.747,314.015,315.478,False,0.000107834,0.00430115
317.51,315.801,315.078,316.523,False,0.000101113,0.00424798
317.4,316.821,316.107,317.534,False,1.16125e-05,0.00419548
316.9,317.168,316.463,317.872,False,2.47929e-06,0.00414245
316.325,317.009,316.314,317.705,False,1.62024e-05,0.0040899
315.407,316.601,315.915,317.288,False,4.9349e-05,0.00403825
314.581,315.889,315.211,316.567,False,5.91803e-05,0.00398773
313.158,315.108,314.439,315.778,False,0.000131638,0.00393794
311.278,313.945,313.284,314.606,False,0.00024607,0.00388967
309.856,312.354,311.701,313.008,False,0.00021595,0.00384358
308.656,310.863,310.218,311.509,False,0.000168564,0.00379771
307.213,309.545,308.907,310.183,False,0.000188208,0.00375169
306.057,308.153,307.523,308.784,False,0.000152076,0.0037065
305.09,306.902,306.28,307.525,False,0.000113653,0.00366149
304.503,305.82,305.206,306.435,False,6.00547e-05,0.00361652
304.708,305.034,304.427,305.641,False,3.67171e-06,0.00357144
305.391,304.838,304.239,305.438,False,1.05714e-05,0.00352615
306.107,305.167,304.575,305.759,False,3.05809e-05,0.00348157
307.239,305.727,305.143,306.312,False,7.90634e-05,0.00343784
308.471,306.629,306.052,307.206,False,0.0001174,0.00339531
309.597,307.728,307.158,308.298,False,0.0001209,0.00335381
311.029,308.843,308.28,309.406,False,0.000165314,0.00331285
312.235,310.147,309.591,310.704,False,0.000150791,0.00327298
313.241,311.393,310.844,311.943,False,0.000118144,0.00323348
314.387,312.496,311.953,313.039,False,0.000123679,0.00319399
315.374,313.625,313.089,314.161,False,0.000105859,0.00315506
316.006,314.669,314.139,315.199,False,6.18631e-05,0.00311645
316.439,315.467,314.944,315.991,False,3.266e-05,0.00307773
316.309,316.048,315.531,316.565,False,2.35878e-06,0.00303911
315.64,316.204,315.694,316.715,False,1.10234e-05,0.00300059
315.058,315.869,315.359,316.379,False,2.27362e-05,0.003
314.08,315.385,314.875,315.895,False,5.89476e-05,0.003
312.813,314.606,314.096,315.116,False,0.000111298,0.003
311.333,313.537,313.027,314.047,False,0.000168022,0.003
309.747,312.222,311.712,312.732,False,0.000211939,0.003
308.798,310.745,310.235,311.255,False,0.000131192,0.003
308.025,309.583,309.073,310.093,False,8.39413e-05,0.003
306.97,308.652,308.142,309.162,False,9.7921e-05,0.003
306.337,307.648,307.138,308.158,False,5.95118e-05,0.003
306.371,306.866,306.356,307.376,False,8.4689e-06,0.003
306.92,306.569,306.059,307.079,False,4.2512e-06,0.003
307.746,306.778,306.268,307.288,False,3.24539e-05,0.003
308.833,307.355,306.845,307.865,False,7.56145e-05,0.003
309.794,308.236,307.726,308.746,False,8.39544e-05,0.003
310.906,309.166,308.656,309.676,False,0.00010479,0.003
312.336,310.204,309.694,310.714,False,0.000157229,0.003
313.459,311.476,310.966,311.986,False,0.000136059,0.003
314.328,312.66,312.15,313.169,False,9.63279e-05,0.003
315.313,313.656,313.146,314.166,False,9.50208e-05,0.003
316.391,314.645,314.135,315.155,False,0.000105477,0.003
317.259,315.687,315.177,316.197,False,8.55104e-05,0.003
317.591,316.625,316.115,317.135,False,3.2264e-05,0.003
317.67,317.203,316.693,317.713,False,7.56239e-06,0.003
316.841,317.482,316.972,317.992,False,1.4234e-05,0.003
316.245,317.101,316.591,317.611,False,2.53319e-05,0.003
315.874,316.591,316.081,317.101,False,1.77667e-05,0.003
314.248,316.162,315.652,316.672,False,0.000126807,0.003
312.658,315.021,314.511,315.531,False,0.000193161,0.003
311.235,313.612,313.102,314.122,False,0.00019545,0.003
309.983,312.193,311.683,312.703,False,0.000168983,0.003
308.921,310.874,310.364,311.384,False,0.000131928,0.003
307.935,309.708,309.198,310.218,False,0.000108768,0.003
307.032,308.65,308.14,309.16,False,9.05429e-05,0.003
306.448,307.684,307.174,308.194,False,5.2876e-05,0.003
306.372,306.946,306.436,307.456,False,1.14055e-05,0.003
306.803,306.603,306.093,307.113,False,1.38761e-06,0.003
307.682,306.721,306.211,307.231,False,3.19338e-05,0.003
308.653,307.294,306.784,307.804,False,6.39421e-05,0.003
309.282,308.104,307.594,308.614,False,4.79901e-05,0.003
310.485,308.807,308.297,309.317,False,9.73791e-05,0.003
311.9,309.808,309.298,310.318,False,0.00015138,0.003
312.874,311.056,310.546,311.566,False,0.000114379,0.003
313.754,312.141,311.631,312.651,False,9.00004e-05,0.003
314.664,313.104,312.594,313.614,False,8.41719e-05,0.003
315.634,314.035,313.525,314.545,False,8.84409e-05,0.003
316.363,314.989,314.479,315.499,False,6.52875e-05,0.003
316.797,315.809,315.299,316.319,False,3.37439e-05,0.003
316.518,316.399,315.889,316.909,False,4.86664e-07,0.003
316.037,316.471,315.961,316.981,False,6.52504e-06,0.003
315.961,316.213,315.703,316.723,False,2.19547e-06,0.003
315.234,316.062,315.552,316.572,False,2.3743e-05,0.003
313.693,315.568,315.058,316.078,False,0.000121672,0.003
312.409,314.45,313.94,314.96,False,0.000144187,0.003
311.112,313.232,312.722,313.742,False,0.000155575,0.003
309.688,311.967,311.457,312.477,False,0.000179666,0.003
308.937,310.607,310.097,311.117,False,9.64789e-05,0.003
308.048,309.61,309.1,310.12,False,8.43974e-05,0.003
307.091,308.677,308.167,309.187,False,8.70551e-05,0.003
307.184,307.731,307.221,308.241,False,1.03494e-05,0.003
307.586,307.404,306.894,307.914,False,1.15146e-06,0.003
308.21,307.511,307.001,308.021,False,1.69003e-05,0.003
309.008,307.928,307.418,308.438,False,4.03806e-05,0.003
309.929,308.572,308.062,309.082,False,6.37135e-05,0.003
310.87,309.382,308.872,309.892,False,7.6662e-05,0.003
311.967,310.27,309.76,310.78,False,9.96842e-05,0.003
312.897,311.283,310.772,311.792,False,9.0195e-05,0.003
313.694,312.246,311.736,312.756,False,7.25397e-05,0.003
314.688,313.111,312.601,313.621,False,8.61023e-05,0.003
315.656,314.052,313.542,314.562,False,8.90271e-05,0.003
316.412,315.009,314.499,315.519,False,6.80841e-05,0.003
316.799,315.847,315.337,316.357,False,3.13784e-05,0.003
317.09,316.416,315.906,316.926,False,1.57323e-05,0.003
316.639,316.819,316.309,317.329,False,1.11706e-06,0.003
315.869,316.712,316.202,317.222,False,2.46016e-05,0.003
315.234,316.21,315.7,316.72,False,3.29577e-05,0.003
314.246,315.628,315.118,316.138,False,6.60458e-05,0.003
313.043,314.803,314.293,315.313,False,0.000107195,0.003
311.785,313.753,313.243,314.263,False,0.00013403,0.003
310.625,312.579,312.069,313.089,False,0.00013208,0.003
309.635,311.413,310.903,311.923,False,0.000109345,0.003
308.846,310.352,309.841,310.862,False,7.84266e-05,0.003
307.89,309.453,308.943,309.963,False,8.44938e-05,0.003
307.196,308.52,308.01,309.03,False,6.06678e-05,0.003
307.141,307.73,307.22,308.24,False,1.19988e-05,0.003
307.501,307.378,306.868,307.888,False,5.27227e-07,0.003
307.928,307.45,306.94,307.96,False,7.89912e-06,0.003
308.699,307.735,307.225,308.245,False,3.21625e-05,0.003
