observed,predicted,low,high,anomalous,err,threshold
13.4399,10.9974,,,,,
13.5008,10.9975,,,,,
13.4787,10.9975,,,,,
13.4832,10.9974,,,,,
13.7,10.9974,10.9744,11.0204,False,0.0138072,0.001
13.5342,10.9974,10.9744,11.0204,False,0.0121649,0.001
13.5507,10.9975,10.3207,11.6743,False,0.0123224,0.0294264
14.1095,12.519,11.8471,13.1909,False,0.00478218,0.0292129
14.1628,13.4663,12.8015,14.1311,False,0.000917095,0.0289038
14.275,13.8814,13.2249,14.5379,False,0.000292848,0.028543
14.6611,14.1164,13.4682,14.7646,False,0.000560919,0.0281818
14.2996,14.4408,13.8007,15.0809,False,3.76885e-05,0.0278316
14.5131,14.357,13.725,14.9891,False,4.60424e-05,0.0274793
14.4205,14.4502,13.8262,15.0742,False,1.66724e-06,0.0271312
14.4847,14.4323,13.8162,15.0484,False,5.19512e-06,0.0267873
14.5546,14.4636,13.8553,15.0719,False,1.56378e-05,0.0264477
14.4113,14.5177,13.9171,15.1183,False,2.1414e-05,0.0261127
14.2032,14.4545,13.8615,15.0474,False,0.000119344,0.0257818
14.1469,14.3049,13.7194,14.8904,False,4.71957e-05,0.0254566
14.0128,14.2107,13.6326,14.7887,False,7.39999e-05,0.0251346
13.9733,14.0927,13.5219,14.6634,False,2.69276e-05,0.0248169
14.0188,14.0215,13.4579,14.5851,False,1.37597e-08,0.0245026
14.0773,14.0197,13.4633,14.5762,False,6.26341e-06,0.024192
14.0908,14.054,13.5046,14.6033,False,2.56505e-06,0.0238854
14.0524,14.0759,13.5335,14.6183,False,1.04798e-06,0.0235826
14.0489,14.062,13.5265,14.5975,False,3.23881e-07,0.0232837
14.0875,14.0542,13.5255,14.5829,False,2.09629e-06,0.0229885
14.0919,14.074,13.552,14.596,False,6.06335e-07,0.0226972
14.1981,14.0847,13.5692,14.6001,False,2.43274e-05,0.0224094
14.1938,14.1522,13.6433,14.6611,False,3.26925e-06,0.0221257
14.2573,14.177,13.6746,14.6795,False,1.21853e-05,0.0218453
14.4354,14.2249,13.7288,14.721,False,8.37568e-05,0.0215685
14.5616,14.3502,13.8604,14.84,False,8.4462e-05,0.0212962
14.5912,14.4762,13.9925,14.9598,False,2.50143e-05,0.0210274
14.7533,14.5449,14.0674,15.0224,False,8.21251e-05,0.0207611
14.7453,14.6691,14.1976,15.1406,False,1.09815e-05,0.020499
14.796,14.7146,14.249,15.1801,False,1.25403e-05,0.0202393
14.731,14.7632,14.3036,15.2228,False,1.96015e-06,0.0199828
14.6572,14.744,14.2903,15.1978,False,1.42587e-05,0.0197295
14.7097,14.6924,14.2443,15.1404,False,5.67346e-07,0.0194796
14.6298,14.7026,14.2603,15.145,False,1.00218e-05,0.0192327
14.5719,14.6592,14.2225,15.096,False,1.44108e-05,0.018989
14.4432,14.6073,14.176,15.0385,False,5.08781e-05,0.0187485
14.2598,14.5095,14.0837,14.9353,False,0.000117866,0.0185114
14.207,14.3608,13.9404,14.7812,False,4.46951e-05,0.0182784
14.3617,14.269,13.854,14.6841,False,1.62293e-05,0.0180473
14.4083,14.324,13.9142,14.7338,False,1.34381e-05,0.0178187
