observed,predicted,low,high,anomalous,err,threshold
736.081,733.741,,,,,
736.436,733.741,,,,,
737.058,733.741,,,,,
737.688,733.741,,,,,
740.139,733.741,733.551,733.931,False,0.0163758,0.0038
740.412,733.74,733.55,733.93,False,0.0178036,0.0038
740.573,733.741,732.279,735.203,False,0.0186709,0.0292483
741.073,737.812,736.356,739.268,False,0.00425361,0.0291239
740.905,739.755,738.315,741.195,False,0.000529049,0.0288082
740.546,740.441,739.019,741.862,False,4.44659e-06,0.0284386
740.264,740.504,739.1,741.908,False,2.30642e-05,0.0280753
740.005,740.361,738.975,741.747,False,5.07192e-05,0.0277193
739.556,740.149,738.78,741.517,False,0.000140552,0.0273685
739.17,739.796,738.445,741.147,False,0.000156608,0.0270234
738.779,739.423,738.089,740.757,False,0.000165854,0.0266829
738.816,739.039,737.722,740.357,False,1.99196e-05,0.0263469
738.424,738.906,737.605,740.206,False,9.28419e-05,0.026013
738.147,738.619,737.334,739.903,False,8.90113e-05,0.0256844
737.649,738.338,737.07,739.606,False,0.000189804,0.0253599
737.559,737.927,736.675,739.18,False,5.42922e-05,0.0250409
737.307,737.708,736.471,738.944,False,6.42327e-05,0.0247242
737.089,737.469,736.248,738.689,False,5.769e-05,0.0244115
737.102,737.243,736.037,738.448,False,7.90331e-06,0.0241029
737.497,737.159,735.969,738.348,False,4.58137e-05,0.0237974
737.888,737.36,736.185,738.535,False,0.000111615,0.0234962
738.329,737.674,736.514,738.834,False,0.000171469,0.0231998
738.844,738.064,736.919,739.21,False,0.000243132,0.0229079
739.643,738.529,737.398,739.66,False,0.000496525,0.0226205
740.232,739.193,738.076,740.31,False,0.000432231,0.0223402
740.544,739.812,738.709,740.915,False,0.000214388,0.0220629
741.099,740.249,739.159,741.338,False,0.000289286,0.0217858
741.738,740.755,739.68,741.831,False,0.000386173,0.0215131
741.776,741.341,740.278,742.403,False,7.57929e-05,0.0212455
741.504,741.601,740.552,742.649,False,3.72766e-06,0.0209772
741.129,741.544,740.508,742.579,False,6.8808e-05,0.020711
740.492,741.297,740.274,742.319,False,0.000259156,0.0204492
739.754,740.818,739.808,741.827,False,0.000452407,0.0201933
739.096,740.184,739.187,741.181,False,0.000473515,0.0199432
738.211,739.536,738.551,740.521,False,0.000701899,0.0196964
737.541,738.746,737.774,739.719,False,0.000581174,0.0194557
737.057,738.028,737.067,738.989,False,0.0003772,0.0192167
736.187,737.449,736.5,738.398,False,0.00063715,0.0189776
735.71,736.697,735.76,737.634,False,0.000389805,0.0187452
734.993,736.109,735.183,737.035,False,0.000498136,0.0185126
734.406,735.444,734.53,736.358,False,0.000430849,0.0182841
734.462,734.826,733.923,735.728,False,5.28587e-05,0.0180581
734.567,734.608,733.717,735.5,False,6.80163e-07,0.0178298
735.587,734.583,733.703,735.463,False,0.000403064,0.0176033
736.099,735.181,734.311,736.05,False,0.000337444,0.0173853
736.543,735.728,734.869,736.586,False,0.00026601,0.0171695
736.234,736.214,735.366,737.062,False,1.61415e-07,0.0169554
737.028,736.227,735.39,737.064,False,0.000256934,0.0167402
737.942,736.704,735.877,737.53,False,0.000613266,0.0165309
738.407,737.441,736.624,738.257,False,0.000373492,0.0163296
738.768,738.017,737.21,738.823,False,0.000225735,0.0161276
739.193,738.465,737.669,739.261,False,0.000212068,0.0159258
739.68,738.899,738.112,739.685,False,0.000244105,0.0157265
739.195,739.364,738.588,740.141,False,1.14522e-05,0.0155304
738.867,739.264,738.497,740.031,False,6.30889e-05,0.0153336
738.544,739.028,738.271,739.785,False,9.37434e-05,0.0151399
738.021,738.74,737.992,739.487,False,0.000206496,0.0149491
737.601,738.312,737.573,739.05,False,0.000201914,0.0147623
737.355,737.888,737.159,738.617,False,0.000113717,0.0145779
736.809,737.57,736.851,738.29,False,0.000231774,0.0143945
736.046,737.117,736.406,737.827,False,0.000458578,0.0142148
735.659,736.479,735.777,737.181,False,0.00026904,0.0140407
735,735.99,735.297,736.684,False,0.000392257,0.0138662
734.597,735.4,734.715,736.085,False,0.000258015,0.0136954
734.43,734.922,734.245,735.598,False,9.66541e-05,0.0135252
734.324,734.628,733.961,735.296,False,3.7036e-05,0.0133549
734.506,734.447,733.787,735.106,False,1.40521e-06,0.013186
734.689,734.482,733.831,735.133,False,1.71842e-05,0.0130188
734.893,734.605,733.962,735.248,False,3.31692e-05,0.0128539
735.355,734.777,734.142,735.411,False,0.000133801,0.0126914
735.978,735.121,734.494,735.748,False,0.000293783,0.0125322
736.522,735.631,735.013,736.25,False,0.000317272,0.0123771
737.068,736.162,735.551,736.773,False,0.000328332,0.0122244
737.703,736.702,736.098,737.306,False,0.000400868,0.0120736
738.186,737.298,736.702,737.895,False,0.000315127,0.0119257
738.658,737.827,737.238,738.416,False,0.000276014,0.0117786
739.3,738.322,737.741,738.904,False,0.000382222,0.0116327
739.729,738.905,738.33,739.479,False,0.000271701,0.0114902
740.026,739.396,738.829,739.963,False,0.000158757,0.0113481
739.996,739.772,739.211,740.332,False,2.01143e-05,0.0112062
739.838,739.906,739.352,740.459,False,1.83358e-06,0.0110643
739.544,739.866,739.32,740.412,False,4.14036e-05,0.0109239
739.027,739.674,739.135,740.214,False,0.000167571,0.0107859
738.499,739.289,738.756,739.821,False,0.000249504,0.0106514
738.1,738.818,738.292,739.344,False,0.000206422,0.0105197
737.586,738.39,737.871,738.91,False,0.00025868,0.010389
737.066,737.911,737.398,738.424,False,0.000285588,0.0102606
736.552,737.408,736.901,737.914,False,0.000292773,0.0101342
735.968,736.898,736.397,737.398,False,0.000345744,0.0100094
735.475,736.344,735.849,736.838,False,0.000301926,0.00988699
