timestamp,conductivity_conductivity_observed,conductivity_conductivity_predicted,conductivity_conductivity_low,conductivity_conductivity_high,conductivity_conductivity_anomalous,err,threshold,attention_weights
17,36.687400,35.451163,35.360963,35.541363,True,0.012630,0.008200,conductivity_conductivity:0.2480|conductivity_temperature:0.1825|conductivity_salinity:0.2036|conductivity_density:0.1702|conductivity_soundspeed:0.1958
18,35.085800,37.235175,37.092898,37.377451,False,0.038180,0.012934,conductivity_conductivity:0.2458|conductivity_temperature:0.1843|conductivity_salinity:0.2024|conductivity_density:0.1705|conductivity_soundspeed:0.1969
19,35.237900,34.557176,34.178715,34.935638,False,0.003830,0.034406,conductivity_conductivity:0.2440|conductivity_temperature:0.1856|conductivity_salinity:0.2018|conductivity_density:0.1710|conductivity_soundspeed:0.1976
20,35.441600,35.583159,35.448778,35.717540,False,0.000166,0.012216,conductivity_conductivity:0.2372|conductivity_temperature:0.1897|conductivity_salinity:0.2002|conductivity_density:0.1731|conductivity_soundspeed:0.1998
21,34.922700,35.596309,35.506109,35.686509,False,0.003750,0.008200,conductivity_conductivity:0.2366|conductivity_temperature:0.1893|conductivity_salinity:0.2010|conductivity_density:0.1740|conductivity_soundspeed:0.1992
22,35.118700,34.509762,34.419562,34.599962,False,0.003065,0.008200,conductivity_conductivity:0.2361|conductivity_temperature:0.1884|conductivity_salinity:0.2023|conductivity_density:0.1750|conductivity_soundspeed:0.1982
23,35.106000,35.481032,35.390832,35.571232,False,0.001162,0.008200,conductivity_conductivity:0.2346|conductivity_temperature:0.1882|conductivity_salinity:0.2032|conductivity_density:0.1763|conductivity_soundspeed:0.1977
24,35.068600,34.827388,34.737188,34.917588,False,0.000481,0.008200,conductivity_conductivity:0.2353|conductivity_temperature:0.1872|conductivity_salinity:0.2041|conductivity_density:0.1765|conductivity_soundspeed:0.1969
25,34.909100,35.169487,35.079287,35.259687,False,0.000560,0.008200,conductivity_conductivity:0.2344|conductivity_temperature:0.1874|conductivity_salinity:0.2043|conductivity_density:0.1771|conductivity_soundspeed:0.1969
26,34.957700,34.744608,34.654408,34.834808,False,0.000375,0.008200,conductivity_conductivity:0.2337|conductivity_temperature:0.1880|conductivity_salinity:0.2039|conductivity_density:0.1772|conductivity_soundspeed:0.1972
27,34.887300,35.015155,34.924955,35.105355,False,0.000135,0.008200,conductivity_conductivity:0.2329|conductivity_temperature:0.1889|conductivity_salinity:0.2032|conductivity_density:0.1772|conductivity_soundspeed:0.1978
28,35.213700,35.034468,34.944268,35.124668,False,0.000265,0.008200,conductivity_conductivity:0.2343|conductivity_temperature:0.1881|conductivity_salinity:0.2035|conductivity_density:0.1767|conductivity_soundspeed:0.1975
29,35.597600,35.076225,34.986025,35.166425,False,0.002247,0.008200,conductivity_conductivity:0.2373|conductivity_temperature:0.1860|conductivity_salinity:0.2045|conductivity_density:0.1758|conductivity_soundspeed:0.1964
30,35.655900,35.973786,35.883586,36.063986,False,0.000835,0.008200,conductivity_conductivity:0.2409|conductivity_temperature:0.1837|conductivity_salinity:0.2056|conductivity_density:0.1747|conductivity_soundspeed:0.1952
31,35.692500,35.451796,35.361596,35.541996,False,0.000479,0.008200,conductivity_conductivity:0.2432|conductivity_temperature:0.1823|conductivity_salinity:0.2061|conductivity_density:0.1739|conductivity_soundspeed:0.1945
32,35.756300,35.788979,35.698779,35.879179,False,0.000009,0.008200,conductivity_conductivity:0.2440|conductivity_temperature:0.1822|conductivity_salinity:0.2059|conductivity_density:0.1733|conductivity_soundspeed:0.1946
33,35.974000,36.038544,35.948344,36.128744,False,0.000034,0.008200,conductivity_conductivity:0.2456|conductivity_temperature:0.1815|conductivity_salinity:0.2060|conductivity_density:0.1726|conductivity_soundspeed:0.1943
34,35.751500,36.235720,36.145520,36.325920,False,0.001938,0.008200,conductivity_conductivity:0.2459|conductivity_temperature:0.1818|conductivity_salinity:0.2054|conductivity_density:0.1722|conductivity_soundspeed:0.1947
35,35.538200,35.410831,35.320631,35.501031,False,0.000134,0.008200,conductivity_conductivity:0.2448|conductivity_temperature:0.1833|conductivity_salinity:0.2042|conductivity_density:0.1720|conductivity_soundspeed:0.1958
36,35.561000,35.371433,35.281233,35.461633,False,0.000297,0.008200,conductivity_conductivity:0.2426|conductivity_temperature:0.1858|conductivity_salinity:0.2023|conductivity_density:0.1719|conductivity_soundspeed:0.1975
37,35.780600,35.408310,35.318110,35.498510,False,0.001145,0.008200,conductivity_conductivity:0.2426|conductivity_temperature:0.1867|conductivity_salinity:0.2012|conductivity_density:0.1712|conductivity_soundspeed:0.1984
38,36.183200,36.066795,35.976595,36.156995,True,0.000112,0.008200,conductivity_conductivity:0.2460|conductivity_temperature:0.1856|conductivity_salinity:0.2008|conductivity_density:0.1694|conductivity_soundspeed:0.1982
39,35.842100,35.992185,35.901985,36.082385,False,0.000186,0.008200,conductivity_conductivity:0.2473|conductivity_temperature:0.1853|conductivity_salinity:0.2005|conductivity_density:0.1686|conductivity_soundspeed:0.1983
40,35.964900,36.012776,35.922576,36.102976,False,0.000019,0.008200,conductivity_conductivity:0.2482|conductivity_temperature:0.1854|conductivity_salinity:0.1999|conductivity_density:0.1678|conductivity_soundspeed:0.1987
41,36.073900,36.219096,36.128896,36.309296,True,0.000174,0.008200,conductivity_conductivity:0.2477|conductivity_temperature:0.1858|conductivity_salinity:0.1998|conductivity_density:0.1680|conductivity_soundspeed:0.1988
42,35.699200,36.235923,36.145723,36.326123,False,0.002381,0.008200,conductivity_conductivity:0.2469|conductivity_temperature:0.1859|conductivity_salinity:0.1999|conductivity_density:0.1684|conductivity_soundspeed:0.1988
43,35.459600,35.335464,35.245264,35.425664,False,0.000127,0.008200,conductivity_conductivity:0.2444|conductivity_temperature:0.1873|conductivity_salinity:0.1996|conductivity_density:0.1694|conductivity_soundspeed:0.1994
44,35.568700,35.280747,35.190547,35.370947,False,0.000685,0.008200,conductivity_conductivity:0.2417|conductivity_temperature:0.1885|conductivity_salinity:0.1994|conductivity_density:0.1705|conductivity_soundspeed:0.1999
45,35.673600,35.732127,35.641927,35.822327,False,0.000028,0.008200,conductivity_conductivity:0.2416|conductivity_temperature:0.1883|conductivity_salinity:0.1997|conductivity_density:0.1707|conductivity_soundspeed:0.1997
46,35.591400,35.925202,35.835002,36.015402,False,0.000921,0.008200,conductivity_conductivity:0.2424|conductivity_temperature:0.1871|conductivity_salinity:0.2008|conductivity_density:0.1711|conductivity_soundspeed:0.1987
47,35.312300,35.343342,35.253142,35.433542,False,0.000008,0.008200,conductivity_conductivity:0.2412|conductivity_temperature:0.1867|conductivity_salinity:0.2018|conductivity_density:0.1722|conductivity_soundspeed:0.1981
48,35.440500,35.559742,35.469542,35.649942,False,0.000118,0.008200,conductivity_conductivity:0.2401|conductivity_temperature:0.1863|conductivity_salinity:0.2028|conductivity_density:0.1734|conductivity_soundspeed:0.1974
49,35.398900,35.577035,35.486835,35.667235,False,0.000262,0.008200,conductivity_conductivity:0.2392|conductivity_temperature:0.1867|conductivity_salinity:0.2028|conductivity_density:0.1738|conductivity_soundspeed:0.1975
50,35.469600,35.559439,35.469239,35.649639,False,0.000067,0.008200,conductivity_conductivity:0.2399|conductivity_temperature:0.1866|conductivity_salinity:0.2025|conductivity_density:0.1733|conductivity_soundspeed:0.1976
51,35.495800,35.689077,35.598877,35.779277,False,0.000309,0.008200,conductivity_conductivity:0.2401|conductivity_temperature:0.1875|conductivity_salinity:0.2014|conductivity_density:0.1725|conductivity_soundspeed:0.1985
52,35.542400,35.659981,35.569781,35.750181,False,0.000114,0.008200,conductivity_conductivity:0.2408|conductivity_temperature:0.1874|conductivity_salinity:0.2012|conductivity_density:0.1720|conductivity_soundspeed:0.1986
53,35.565800,35.698652,35.608452,35.788852,False,0.000146,0.008200,conductivity_conductivity:0.2413|conductivity_temperature:0.1869|conductivity_salinity:0.2015|conductivity_density:0.1720|conductivity_soundspeed:0.1983
54,35.681200,35.716781,35.626581,35.806981,False,0.000010,0.008200,conductivity_conductivity:0.2423|conductivity_temperature:0.1858|conductivity_salinity:0.2024|conductivity_density:0.1721|conductivity_soundspeed:0.1974
55,35.697600,35.950719,35.860519,36.040919,False,0.000529,0.008200,conductivity_conductivity:0.2431|conductivity_temperature:0.1846|conductivity_salinity:0.2034|conductivity_density:0.1723|conductivity_soundspeed:0.1966
56,35.826700,35.571487,35.481287,35.661687,False,0.000538,0.008200,conductivity_conductivity:0.2444|conductivity_temperature:0.1839|conductivity_salinity:0.2036|conductivity_density:0.1718|conductivity_soundspeed:0.1963
57,35.422200,35.941441,35.851241,36.031641,False,0.002228,0.008200,conductivity_conductivity:0.2431|conductivity_temperature:0.1853|conductivity_salinity:0.2026|conductivity_density:0.1718|conductivity_soundspeed:0.1972
58,35.364400,35.078221,34.988021,35.168421,False,0.000677,0.008200,conductivity_conductivity:0.2414|conductivity_temperature:0.1873|conductivity_salinity:0.2010|conductivity_density:0.1717|conductivity_soundspeed:0.1986
59,35.339000,35.520564,35.430364,35.610764,False,0.000272,0.008200,conductivity_conductivity:0.2389|conductivity_temperature:0.1891|conductivity_salinity:0.2001|conductivity_density:0.1723|conductivity_soundspeed:0.1997
60,35.576500,35.492695,35.402495,35.582895,False,0.000058,0.008200,conductivity_conductivity:0.2396|conductivity_temperature:0.1890|conductivity_salinity:0.1998|conductivity_density:0.1718|conductivity_soundspeed:0.1998
61,35.492700,35.355562,35.265362,35.445762,False,0.000155,0.008200,conductivity_conductivity:0.2402|conductivity_temperature:0.1895|conductivity_salinity:0.1990|conductivity_density:0.1710|conductivity_soundspeed:0.2004
62,35.451400,35.358588,35.268388,35.448788,False,0.000071,0.008200,conductivity_conductivity:0.2406|conductivity_temperature:0.1908|conductivity_salinity:0.1973|conductivity_density:0.1697|conductivity_soundspeed:0.2016
63,35.514900,35.239821,35.149621,35.330021,False,0.000625,0.008200,conductivity_conductivity:0.2401|conductivity_temperature:0.1922|conductivity_salinity:0.1959|conductivity_density:0.1690|conductivity_soundspeed:0.2028
64,35.799900,35.676095,35.585895,35.766295,False,0.000127,0.008200,conductivity_conductivity:0.2416|conductivity_temperature:0.1918|conductivity_salinity:0.1956|conductivity_density:0.1681|conductivity_soundspeed:0.2028
65,36.017000,35.655022,35.564822,35.745222,True,0.001083,0.008200,conductivity_conductivity:0.2445|conductivity_temperature:0.1904|conductivity_salinity:0.1958|conductivity_density:0.1670|conductivity_soundspeed:0.2023
66,35.679700,36.294261,36.204061,36.384461,False,0.003121,0.008200,conductivity_conductivity:0.2453|conductivity_temperature:0.1907|conductivity_salinity:0.1951|conductivity_density:0.1662|conductivity_soundspeed:0.2027
67,35.627900,35.287097,35.196897,35.377297,False,0.000960,0.008200,conductivity_conductivity:0.2443|conductivity_temperature:0.1922|conductivity_salinity:0.1939|conductivity_density:0.1658|conductivity_soundspeed:0.2039
68,35.588300,35.852575,35.762375,35.942775,False,0.000577,0.008200,conductivity_conductivity:0.2420|conductivity_temperature:0.1937|conductivity_salinity:0.1932|conductivity_density:0.1664|conductivity_soundspeed:0.2047
69,35.509500,35.429894,35.339694,35.520094,False,0.000052,0.008200,conductivity_conductivity:0.2412|conductivity_temperature:0.1937|conductivity_salinity:0.1936|conductivity_density:0.1670|conductivity_soundspeed:0.2045
70,35.491600,35.272305,35.182105,35.362505,False,0.000397,0.008200,conductivity_conductivity:0.2406|conductivity_temperature:0.1938|conductivity_salinity:0.1937|conductivity_density:0.1674|conductivity_soundspeed:0.2045
71,35.482900,35.547574,35.457374,35.637774,False,0.000035,0.008200,conductivity_conductivity:0.2401|conductivity_temperature:0.1938|conductivity_salinity:0.1941|conductivity_density:0.1678|conductivity_soundspeed:0.2043
72,35.555200,35.720170,35.629970,35.810370,False,0.000225,0.008200,conductivity_conductivity:0.2403|conductivity_temperature:0.1938|conductivity_salinity:0.1939|conductivity_density:0.1677|conductivity_soundspeed:0.2043
73,35.463200,35.703635,35.613435,35.793835,False,0.000478,0.008200,conductivity_conductivity:0.2402|conductivity_temperature:0.1932|conductivity_salinity:0.1946|conductivity_density:0.1682|conductivity_soundspeed:0.2038
74,35.463900,35.346509,35.256309,35.436709,False,0.000114,0.008200,conductivity_conductivity:0.2401|conductivity_temperature:0.1935|conductivity_salinity:0.1943|conductivity_density:0.1680|conductivity_soundspeed:0.2041
75,35.464500,35.303477,35.213277,35.393677,False,0.000214,0.008200,conductivity_conductivity:0.2396|conductivity_temperature:0.1940|conductivity_salinity:0.1940|conductivity_density:0.1680|conductivity_soundspeed:0.2043
76,35.483000,35.321181,35.230981,35.411381,False,0.000216,0.008200,conductivity_conductivity:0.2397|conductivity_temperature:0.1941|conductivity_salinity:0.1938|conductivity_density:0.1679|conductivity_soundspeed:0.2045
77,35.426500,35.336035,35.245835,35.426235,False,0.000068,0.008200,conductivity_conductivity:0.2395|conductivity_temperature:0.1940|conductivity_salinity:0.1940|conductivity_density:0.1681|conductivity_soundspeed:0.2044
78,35.292500,35.206334,35.116134,35.296534,False,0.000061,0.008200,conductivity_conductivity:0.2388|conductivity_temperature:0.1939|conductivity_salinity:0.1945|conductivity_density:0.1687|conductivity_soundspeed:0.2041
79,35.252900,35.068166,34.977966,35.158366,False,0.000282,0.008200,conductivity_conductivity:0.2377|conductivity_temperature:0.1943|conductivity_salinity:0.1946|conductivity_density:0.1693|conductivity_soundspeed:0.2041
80,35.361900,35.098642,35.008442,35.188842,False,0.000573,0.008200,conductivity_conductivity:0.2374|conductivity_temperature:0.1941|conductivity_salinity:0.1950|conductivity_density:0.1697|conductivity_soundspeed:0.2039
81,35.605900,35.506337,35.416137,35.596537,False,0.000082,0.008200,conductivity_conductivity:0.2390|conductivity_temperature:0.1932|conductivity_salinity:0.1953|conductivity_density:0.1691|conductivity_soundspeed:0.2034
82,35.654300,35.406153,35.315953,35.496353,False,0.000509,0.008200,conductivity_conductivity:0.2409|conductivity_temperature:0.1921|conductivity_salinity:0.1956|conductivity_density:0.1685|conductivity_soundspeed:0.2029
83,35.630500,35.777181,35.686981,35.867381,False,0.000178,0.008200,conductivity_conductivity:0.2422|conductivity_temperature:0.1917|conductivity_salinity:0.1954|conductivity_density:0.1678|conductivity_soundspeed:0.2029
84,35.747100,35.785527,35.695327,35.875727,False,0.000012,0.008200,conductivity_conductivity:0.2429|conductivity_temperature:0.1916|conductivity_salinity:0.1952|conductivity_density:0.1673|conductivity_soundspeed:0.2030
85,35.777100,36.017216,35.927016,36.107416,False,0.000476,0.008200,conductivity_conductivity:0.2435|conductivity_temperature:0.1919|conductivity_salinity:0.1946|conductivity_density:0.1666|conductivity_soundspeed:0.2034
86,35.322200,35.669623,35.579423,35.759823,False,0.000998,0.008200,conductivity_conductivity:0.2419|conductivity_temperature:0.1931|conductivity_salinity:0.1940|conductivity_density:0.1669|conductivity_soundspeed:0.2041
87,35.318300,35.054391,34.964191,35.144591,False,0.000576,0.008200,conductivity_conductivity:0.2397|conductivity_temperature:0.1947|conductivity_salinity:0.1932|conductivity_density:0.1674|conductivity_soundspeed:0.2050
88,35.602800,35.440785,35.350585,35.530985,False,0.000217,0.008200,conductivity_conductivity:0.2389|conductivity_temperature:0.1942|conductivity_salinity:0.1941|conductivity_density:0.1684|conductivity_soundspeed:0.2044
89,35.727000,35.462159,35.371959,35.552359,False,0.000580,0.008200,conductivity_conductivity:0.2410|conductivity_temperature:0.1929|conductivity_salinity:0.1947|conductivity_density:0.1678|conductivity_soundspeed:0.2037
90,36.463600,35.884730,35.794530,35.974930,True,0.002769,0.008200,conductivity_conductivity:0.2470|conductivity_temperature:0.1897|conductivity_salinity:0.1954|conductivity_density:0.1656|conductivity_soundspeed:0.2023
91,36.342800,36.873801,36.783601,36.964001,True,0.002330,0.008200,conductivity_conductivity:0.2509|conductivity_temperature:0.1887|conductivity_salinity:0.1947|conductivity_density:0.1635|conductivity_soundspeed:0.2022
92,35.967400,36.013866,35.923666,36.104066,False,0.000018,0.008200,conductivity_conductivity:0.2521|conductivity_temperature:0.1887|conductivity_salinity:0.1941|conductivity_density:0.1626|conductivity_soundspeed:0.2026
93,35.922600,36.213615,36.123415,36.303815,False,0.000700,0.008200,conductivity_conductivity:0.2490|conductivity_temperature:0.1907|conductivity_salinity:0.1932|conductivity_density:0.1633|conductivity_soundspeed:0.2037
94,35.776600,35.714769,35.624569,35.804969,False,0.000032,0.008200,conductivity_conductivity:0.2459|conductivity_temperature:0.1925|conductivity_salinity:0.1927|conductivity_density:0.1643|conductivity_soundspeed:0.2046
95,35.754100,35.519313,35.429113,35.609513,False,0.000456,0.008200,conductivity_conductivity:0.2448|conductivity_temperature:0.1928|conductivity_salinity:0.1928|conductivity_density:0.1649|conductivity_soundspeed:0.2046
96,35.826100,35.828319,35.738119,35.918519,False,0.000000,0.008200,conductivity_conductivity:0.2443|conductivity_temperature:0.1930|conductivity_salinity:0.1928|conductivity_density:0.1651|conductivity_soundspeed:0.2047
97,35.776900,36.120309,36.030109,36.210509,False,0.000975,0.008200,conductivity_conductivity:0.2443|conductivity_temperature:0.1931|conductivity_salinity:0.1927|conductivity_density:0.1651|conductivity_soundspeed:0.2048
98,35.752300,35.528425,35.438225,35.618625,False,0.000414,0.008200,conductivity_conductivity:0.2443|conductivity_temperature:0.1933|conductivity_salinity:0.1926|conductivity_density:0.1649|conductivity_soundspeed:0.2049
