timestamp,conductivity_conductivity_observed,conductivity_conductivity_predicted,conductivity_conductivity_low,conductivity_conductivity_high,conductivity_conductivity_anomalous,err,threshold,attention_weights
17,36.687400,35.427377,35.337177,35.517577,True,0.013121,0.008200,conductivity_conductivity:0.2480|conductivity_temperature:0.1825|conductivity_salinity:0.2036|conductivity_density:0.1702|conductivity_soundspeed:0.1958
18,35.085800,37.245199,37.096150,37.394249,False,0.038537,0.013550,conductivity_conductivity:0.2458|conductivity_temperature:0.1843|conductivity_salinity:0.2024|conductivity_density:0.1705|conductivity_soundspeed:0.1969
19,35.237900,34.528876,34.133808,34.923943,False,0.004155,0.035915,conductivity_conductivity:0.2440|conductivity_temperature:0.1856|conductivity_salinity:0.2018|conductivity_density:0.1710|conductivity_soundspeed:0.1976
20,35.441600,35.596457,35.460955,35.731959,False,0.000198,0.012318,conductivity_conductivity:0.2372|conductivity_temperature:0.1897|conductivity_salinity:0.2002|conductivity_density:0.1731|conductivity_soundspeed:0.1998
21,34.922700,35.601452,35.511252,35.691652,False,0.003807,0.008200,conductivity_conductivity:0.2366|conductivity_temperature:0.1893|conductivity_salinity:0.2010|conductivity_density:0.1740|conductivity_soundspeed:0.1992
22,35.118700,34.505953,34.415753,34.596153,False,0.003103,0.008200,conductivity_conductivity:0.2361|conductivity_temperature:0.1884|conductivity_salinity:0.2023|conductivity_density:0.1750|conductivity_soundspeed:0.1982
23,35.106000,35.488624,35.398424,35.578824,False,0.001210,0.008200,conductivity_conductivity:0.2346|conductivity_temperature:0.1882|conductivity_salinity:0.2032|conductivity_density:0.1763|conductivity_soundspeed:0.1977
24,35.068600,34.823016,34.732816,34.913216,False,0.000498,0.008200,conductivity_conductivity:0.2353|conductivity_temperature:0.1872|conductivity_salinity:0.2041|conductivity_density:0.1765|conductivity_soundspeed:0.1969
25,34.909100,35.171744,35.081544,35.261944,False,0.000570,0.008200,conductivity_conductivity:0.2344|conductivity_temperature:0.1874|conductivity_salinity:0.2043|conductivity_density:0.1771|conductivity_soundspeed:0.1969
26,34.957700,34.746467,34.656267,34.836667,False,0.000369,0.008200,conductivity_conductivity:0.2337|conductivity_temperature:0.1880|conductivity_salinity:0.2039|conductivity_density:0.1772|conductivity_soundspeed:0.1972
27,34.887300,35.003528,34.913328,35.093728,False,0.000112,0.008200,conductivity_conductivity:0.2329|conductivity_temperature:0.1889|conductivity_salinity:0.2032|conductivity_density:0.1772|conductivity_soundspeed:0.1978
28,35.213700,35.038484,34.948284,35.128684,False,0.000254,0.008200,conductivity_conductivity:0.2343|conductivity_temperature:0.1881|conductivity_salinity:0.2035|conductivity_density:0.1767|conductivity_soundspeed:0.1975
29,35.597600,35.073785,34.983585,35.163985,False,0.002268,0.008200,conductivity_conductivity:0.2373|conductivity_temperature:0.1860|conductivity_salinity:0.2045|conductivity_density:0.1758|conductivity_soundspeed:0.1964
